"","Metabolite","KEGG_ID","Num_Sig_Genes","Gene_Count","Expression_Score","Normalized_Score"
"545","Dolichyl diphosphate","C00621",5,7,0.714285714285714,0.714285714285714
"904","Phenylpyruvic acid","C00166",5,7,0.714285714285714,0.714285714285714
"913","Phosphoribosyl pyrophosphate","C00119",7,10,0.7,0.7
"418","Citric acid","C00158",16,23,0.695652173913043,0.695652173913043
"171","3,4-Dihydroxymandelaldehyde","C05577",9,13,0.692307692307692,0.692307692307692
"178","3a,7a-Dihydroxy-5b-cholestan-26-al","C05445",9,13,0.692307692307692,0.692307692307692
"485","dCTP","C00458",20,29,0.689655172413793,0.689655172413793
"871","Oxalacetic acid","C00036",11,16,0.6875,0.6875
"386","Carbonic acid","C01353",15,22,0.681818181818182,0.681818181818182
"510","dGTP","C00286",21,31,0.67741935483871,0.67741935483871
"39","10-Formyltetrahydrofolate","C00234",6,9,0.666666666666667,0.666666666666667
"42","11-Dehydrocorticosterone","C05490",2,3,0.666666666666667,0.666666666666667
"74","1D-Myo-inositol 3,4-bisphosphate","C04063",2,3,0.666666666666667,0.666666666666667
"121","25-Hydroxycholesterol","C15519",2,3,0.666666666666667,0.666666666666667
"150","3-Methoxy-4-hydroxyphenylglycolaldehyde","C05583",4,6,0.666666666666667,0.666666666666667
"151","3-Methoxytyramine","C05587",2,3,0.666666666666667,0.666666666666667
"168","3-Sulfinoalanine","C00606",4,6,0.666666666666667,0.666666666666667
"214","4,4-Dimethyl-5a-cholesta-8,24-dien-3-b-ol","C05108",2,3,0.666666666666667,0.666666666666667
"219","4,8 Dimethylnonanoyl carnitine","None",2,3,0.666666666666667,0.666666666666667
"234","5-Diphosphoinositol pentakisphosphate","C11526",2,3,0.666666666666667,0.666666666666667
"239","5-Hydroxykynurenamine","C05638",2,3,0.666666666666667,0.666666666666667
"253","5,6-Dihydroxyindole-2-carboxylic acid","C04185",2,3,0.666666666666667,0.666666666666667
"268","7-a,27-Dihydroxycholesterol","C06341",2,3,0.666666666666667,0.666666666666667
"278","7a-Hydroxydehydroepiandrosterone","C18045",2,3,0.666666666666667,0.666666666666667
"292","Acetyl adenylate","C05993",2,3,0.666666666666667,0.666666666666667
"294","Acetylcholine","C01996",2,3,0.666666666666667,0.666666666666667
"303","Adenosine tetraphosphate","C03483",2,3,0.666666666666667,0.666666666666667
"317","AICAR","C04677",2,3,0.666666666666667,0.666666666666667
"327","Aminoacetone","C01888",4,6,0.666666666666667,0.666666666666667
"384","Carbamoyl phosphate","C00169",2,3,0.666666666666667,0.666666666666667
"417","Citicoline","C00307",4,6,0.666666666666667,0.666666666666667
"469","D-Ribose 5-phosphate","C00117",10,15,0.666666666666667,0.666666666666667
"501","Dephospho-CoA","C00882",2,3,0.666666666666667,0.666666666666667
"515","dIDP","C01344",4,6,0.666666666666667,0.666666666666667
"533","Dimethylglycine","C01026",2,3,0.666666666666667,0.666666666666667
"564","Escitalopram","None",2,3,0.666666666666667,0.666666666666667
"566","Ethyl carbamate","C01537",2,3,0.666666666666667,0.666666666666667
"587","Galactaric acid","C00879",2,3,0.666666666666667,0.666666666666667
"589","Galactose 1-phosphate","C00446",2,3,0.666666666666667,0.666666666666667
"607","Geranyl-PP","C00341",2,3,0.666666666666667,0.666666666666667
"705","Itaconic acid","C00490",2,3,0.666666666666667,0.666666666666667
"727","L-Glutamic gamma-semialdehyde","C01165",2,3,0.666666666666667,0.666666666666667
"743","Lanosterin","C01724",2,3,0.666666666666667,0.666666666666667
"782","Methionine sulfoxide","None",2,3,0.666666666666667,0.666666666666667
"803","N-Acetyl-glucosamine 1-phosphate","C04256",2,3,0.666666666666667,0.666666666666667
"882","Palmitaldehyde","C00517",2,3,0.666666666666667,0.666666666666667
"917","Phosphoroselenoic acid","C05172",2,3,0.666666666666667,0.666666666666667
"920","Phytanoyl-CoA","C02060",2,3,0.666666666666667,0.666666666666667
"933","Propinol adenylate","C05983",2,3,0.666666666666667,0.666666666666667
"1036","Tetrahydrocorticosterone","C05476",2,3,0.666666666666667,0.666666666666667
"1070","Triphosphate","C00536",2,3,0.666666666666667,0.666666666666667
"1093","Valdecoxib","None",2,3,0.666666666666667,0.666666666666667
"627","Glycerol","C00116",27,41,0.658536585365854,0.658536585365854
"967","Retinal","C00376",11,17,0.647058823529412,0.647058823529412
"1089","Uridine diphosphategalactose","C00052",11,17,0.647058823529412,0.647058823529412
"629","Glycerophosphocholine","C00670",7,11,0.636363636363636,0.636363636363636
"1055","Thymidine 5'-triphosphate","C00459",26,41,0.634146341463415,0.634146341463415
"405","Cholesterol","C00187",12,19,0.631578947368421,0.631578947368421
"173","3,4-Dihydroxyphenylglycol","C05576",5,8,0.625,0.625
"201","4-Hydroxyphenylacetaldehyde","C03765",5,8,0.625,0.625
"364","Betaine aldehyde","C00576",5,8,0.625,0.625
"457","D-Glucurono-6,3-lactone","C02670",5,8,0.625,0.625
"625","Glyceric acid","C00258",5,8,0.625,0.625
"641","Guanine","C00242",5,8,0.625,0.625
"644","Guanosine diphosphate mannose","C00096",5,8,0.625,0.625
"865","Oleoyl-CoA","C00510",5,8,0.625,0.625
"940","Prostaglandin H2","C00427",5,8,0.625,0.625
"831","N1-Acetylspermine","C02567",18,29,0.620689655172414,0.620689655172414
"491","Deoxyadenosine triphosphate","C00131",21,34,0.617647058823529,0.617647058823529
"318","Aldosterone","C01780",8,13,0.615384615384615,0.615384615384615
"528","Dihydroxyacetone phosphate","C00111",8,13,0.615384615384615,0.615384615384615
"1018","Succinic acid","C00042",22,36,0.611111111111111,0.611111111111111
"550","dTDP","C00363",14,23,0.608695652173913,0.608695652173913
"32","1-Phenylethylamine","C02455",3,5,0.6,0.6
"153","3-Methyl-2-oxovaleric acid","C03465",3,5,0.6,0.6
"290","Acetoacetic acid","C00164",6,10,0.6,0.6
"383","Caprylic acid","C06423",3,5,0.6,0.6
"439","Cysteic acid","C00506",3,5,0.6,0.6
"464","D-Mannose 1-phosphate","C00636",3,5,0.6,0.6
"477","D-Xylose","C00181",3,5,0.6,0.6
"547","Donepezil","None",3,5,0.6,0.6
"630","Glycerylphosphorylethanolamine","C01233",3,5,0.6,0.6
"653","Heparan sulfate","C00925",6,10,0.6,0.6
"734","L-Palmitoylcarnitine","C02990",3,5,0.6,0.6
"784","Methylamine","C00218",3,5,0.6,0.6
"787","Methylmalonyl-CoA","C00683",3,5,0.6,0.6
"813","N-Acetylneuraminic acid","C19910",6,10,0.6,0.6
"954","Pyrocatechol","C00090",3,5,0.6,0.6
"598","Ganglioside GD3 (d18:1/12:0)","C06133",23,39,0.58974358974359,0.58974358974359
"108","2,3-Epoxyaflatoxin B1","C19586",10,17,0.588235294117647,0.588235294117647
"542","Dolichol-20","C00381",10,17,0.588235294117647,0.588235294117647
"738","L-Tyrosine","C00082",10,17,0.588235294117647,0.588235294117647
"1066","Trichloroethylene","C06790",10,17,0.588235294117647,0.588235294117647
"654","Heparin","C00374",17,29,0.586206896551724,0.586206896551724
"718","L-Aspartic acid","C00049",17,29,0.586206896551724,0.586206896551724
"483","dCDP","C00705",7,12,0.583333333333333,0.583333333333333
"706","Keratan","C00573",7,12,0.583333333333333,0.583333333333333
"599","Ganglioside GD3 (d18:1/24:1(15Z))","C06133",22,38,0.578947368421053,0.578947368421053
"388","CDP","C00112",15,26,0.576923076923077,0.576923076923077
"1009","Sphinganine 1-phosphate","C01120",27,47,0.574468085106383,0.574468085106383
"37","1,3-Diaminopropane","C00986",4,7,0.571428571428571,0.571428571428571
"179","3a,7a-Dihydroxy-5b-cholestanate","None",4,7,0.571428571428571,0.571428571428571
"382","Caproic acid","C01585",4,7,0.571428571428571,0.571428571428571
"412","Chondroitin sulfate","C00607",4,7,0.571428571428571,0.571428571428571
"509","dGDP","C00361",8,14,0.571428571428571,0.571428571428571
"694","Inositol phosphate","C01177",4,7,0.571428571428571,0.571428571428571
"764","LysoPC(10:0)","None",4,7,0.571428571428571,0.571428571428571
"781","Methacrylyl-CoA","C03460",4,7,0.571428571428571,0.571428571428571
"792","Molybdopterin","C05924",4,7,0.571428571428571,0.571428571428571
"793","Myo-inositol 1-phosphate","C04006",4,7,0.571428571428571,0.571428571428571
"802","N-Acetyl-D-mannosamine 6-phosphate","C04257",4,7,0.571428571428571,0.571428571428571
"955","Pyroglutamic acid","C01879",4,7,0.571428571428571,0.571428571428571
"1094","Vasopressin","C00840",4,7,0.571428571428571,0.571428571428571
"1100","Xanthylic acid","C00655",8,14,0.571428571428571,0.571428571428571
"597","Ganglioside GD2 (d18:1/12:0)","None",21,37,0.567567567567568,0.567567567567568
"875","Oxoglutaric acid","C00026",34,60,0.566666666666667,0.566666666666667
"1011","Sphingosine 1-phosphate","C06124",26,46,0.565217391304348,0.565217391304348
"621","Glucosylsphingosine","C03108",22,39,0.564102564102564,0.564102564102564
"356","Beta-Alanine","C00099",9,16,0.5625,0.5625
"600","Ganglioside GM1 (18:1/12:0)","C04911",27,48,0.5625,0.5625
"1002","SM(d18:1/18:0)","C00550",27,48,0.5625,0.5625
"163","3-Oxohexanoyl-CoA","C05269",5,9,0.555555555555556,0.555555555555556
"172","3,4-Dihydroxyphenylacetaldehyde","C04043",5,9,0.555555555555556,0.555555555555556
"249","5,10-Methenyltetrahydrofolic acid","C00445",5,9,0.555555555555556,0.555555555555556
"572","Farnesyl pyrophosphate","C00448",5,9,0.555555555555556,0.555555555555556
"843","Naphthalene epoxide","None",10,18,0.555555555555556,0.555555555555556
"1102","Zolpidem","C07219",5,9,0.555555555555556,0.555555555555556
"1008","Sphinganine","C00836",26,47,0.553191489361702,0.553191489361702
"1010","Sphingosine","C00319",26,47,0.553191489361702,0.553191489361702
"684","IDP","C00104",16,29,0.551724137931034,0.551724137931034
"735","L-Serine","C00065",11,20,0.55,0.55
"31","1-Pentanol","C16834",17,31,0.548387096774194,0.548387096774194
"592","Galactosylsphingosine","C01747",23,42,0.547619047619048,0.547619047619048
"819","N-Glycoloylganglioside GM2","C01808",23,42,0.547619047619048,0.547619047619048
"617","Glucosylceramide (d18:1/12:0)","C01190",29,53,0.547169811320755,0.547169811320755
"287","9-cis-Retinal","C16681",6,11,0.545454545454545,0.545454545454545
"500","Deoxyuridine triphosphate","C00460",6,11,0.545454545454545,0.545454545454545
"540","Dodecanoic acid","C02679",6,11,0.545454545454545,0.545454545454545
"553","dUDP","C01346",6,11,0.545454545454545,0.545454545454545
"561","Epinephrine","C00788",6,11,0.545454545454545,0.545454545454545
"602","Ganglioside GM3 (d18:1/12:0)","C04730",24,44,0.545454545454545,0.545454545454545
"612","Glucosamine 6-phosphate","C00352",6,11,0.545454545454545,0.545454545454545
"618","Glucosylceramide (d18:1/16:0)","C01190",30,55,0.545454545454545,0.545454545454545
"628","Glycerol 3-phosphate","C00093",6,11,0.545454545454545,0.545454545454545
"739","Lactosamine","C00203",12,22,0.545454545454545,0.545454545454545
"958","Pyruvaldehyde","C00546",6,11,0.545454545454545,0.545454545454545
"1001","SM(d16:1/24:1(15Z))","None",25,46,0.543478260869565,0.543478260869565
"127","3-Aminopropionaldehyde","C05665",7,13,0.538461538461538,0.538461538461538
"159","3-O-Sulfogalactosylceramide (d18:1/12:0)","C06125",28,52,0.538461538461538,0.538461538461538
"410","Chondroitin","C00401",7,13,0.538461538461538,0.538461538461538
"614","Glucose 1-phosphate","C00103",7,13,0.538461538461538,0.538461538461538
"616","Glucosylceramide","C01190",28,52,0.538461538461538,0.538461538461538
"620","Glucosylceramide (d18:1/24:0)","None",28,52,0.538461538461538,0.538461538461538
"687","Inosine triphosphate","C00081",14,26,0.538461538461538,0.538461538461538
"921","Phytosphingosine","C12144",21,39,0.538461538461538,0.538461538461538
"395","Ceramide (d18:1/16:0)","C00195",36,67,0.537313432835821,0.537313432835821
"824","N-Palmitoylsphingosine","None",29,54,0.537037037037037,0.537037037037037
"132","3-Dehydrosphinganine","C02934",22,41,0.536585365853659,0.536585365853659
"818","N-Glycoloylganglioside GM1","C01808",22,41,0.536585365853659,0.536585365853659
"393","Cer(d18:1/23:0)","None",30,56,0.535714285714286,0.535714285714286
"1043","TG(16:0/16:0/18:0)[iso3]","C00422",15,28,0.535714285714286,0.535714285714286
"248","5-Thymidylic acid","C00364",8,15,0.533333333333333,0.533333333333333
"394","Ceramide (d18:1/12:0)","C00195",32,60,0.533333333333333,0.533333333333333
"470","D-Ribulose 5-phosphate","C00117",8,15,0.533333333333333,0.533333333333333
"601","Ganglioside GM2 (d18:1/12:0)","C04884",26,49,0.530612244897959,0.530612244897959
"1034","Tetrahexosylceramide (d18:1/9Z-18:1)","C03272",26,49,0.530612244897959,0.530612244897959
"586","Galabiosylceramide (d18:1/9Z-18:1)","C06126",27,51,0.529411764705882,0.529411764705882
"763","LPA(18:0e/0:0)","None",9,17,0.529411764705882,0.529411764705882
"593","Gamma-Aminobutyric acid","C00334",19,36,0.527777777777778,0.527777777777778
"619","Glucosylceramide (d18:1/20:0)","C01190",29,55,0.527272727272727,0.527272727272727
"519","Dihydroceramide","C12126",30,57,0.526315789473684,0.526315789473684
"666","Hydrochloric acid","C01327",10,19,0.526315789473684,0.526315789473684
"867","Ornithine","C00077",10,19,0.526315789473684,0.526315789473684
"766","LysoPC(18:1(9Z))","C04230",11,21,0.523809523809524,0.523809523809524
"603","Ganglioside GM3 (d18:1/25:0)","C04730",24,46,0.521739130434783,0.521739130434783
"692","Inositol 1,4,5-trisphosphate","C01245",12,23,0.521739130434783,0.521739130434783
"1033","Tetrahexosylceramide (d18:1/12:0)","C03272",28,54,0.518518518518518,0.518518518518518
"1087","Uridine diphosphate-N-acetylgalactosamine","C00203",14,27,0.518518518518518,0.518518518518518
"741","Lactosylceramide (d18:1/18:0)","C01290",29,56,0.517857142857143,0.517857142857143
"697","Isobutanol","C14710",15,29,0.517241379310345,0.517241379310345
"590","Galactosylceramide (d18:1/16:0)","C02686",31,60,0.516666666666667,0.516666666666667
"160","3-O-Sulfogalactosylceramide (d18:1/24:0)","C06125",32,62,0.516129032258065,0.516129032258065
"396","Ceramide (d18:1/20:0)","C00195",32,62,0.516129032258065,0.516129032258065
"688","Inosinic acid","C00130",16,31,0.516129032258065,0.516129032258065
"934","Propionyl-CoA","C00100",48,93,0.516129032258065,0.516129032258065
"1083","Uridine 5'-diphosphate","C00015",62,121,0.512396694214876,0.512396694214876
"956","Pyrophosphate","C00013",160,314,0.509554140127389,0.509554140127389
"740","Lactosylceramide (d18:1/12:0)","C01290",31,61,0.508196721311475,0.508196721311475
"646","Guanosine triphosphate","C00044",265,528,0.501893939393939,0.501893939393939
"916","Phosphoric acid","C00009",314,627,0.500797448165869,0.500797448165869
"18","(S)-3-Hydroxyisobutyryl-CoA","C06000",2,4,0.5,0.5
"27","1-Butanol","C06142",15,30,0.5,0.5
"35","1-Pyrroline-5-carboxylic acid","C04322",3,6,0.5,0.5
"44","11b-Hydroxyandrost-4-ene-3,17-dione","C05284",5,10,0.5,0.5
"60","16a-Hydroxyestrone","C05300",2,4,0.5,0.5
"61","16b-Hydroxyestrone","C05300",3,6,0.5,0.5
"71","1D-Myo-inositol 1,4-bisphosphate","C01220",2,4,0.5,0.5
"81","2-Arachidonylglycerol","C13856",4,8,0.5,0.5
"95","2-Methyl-3-hydroxybutyryl-CoA","C04405",3,6,0.5,0.5
"97","2-Methylacetoacetyl-CoA","C03344",4,8,0.5,0.5
"110","2'-Deoxyguanosine 5'-monophosphate","C00362",5,10,0.5,0.5
"137","3-Hydroxy-3-methylglutaryl-CoA","C00356",3,6,0.5,0.5
"142","3-Hydroxybutyryl-CoA","C03561",2,4,0.5,0.5
"166","3-Oxotetradecanoyl-CoA","C05261",4,8,0.5,0.5
"197","4-Hydroxy-L-glutamic acid","C03079",2,4,0.5,0.5
"211","4-Phosphopantothenoylcysteine","C04352",3,6,0.5,0.5
"251","5,6-Dihydrouridine","None",2,4,0.5,0.5
"259","5a-Pregnane-3,20-dione","C03681",2,4,0.5,0.5
"301","Adenosine diphosphate ribose","C00301",3,6,0.5,0.5
"302","Adenosine phosphosulfate","C00224",3,6,0.5,0.5
"332","Anandamide","C11695",2,4,0.5,0.5
"371","Bradykinin","C00306",5,10,0.5,0.5
"392","Celecoxib","C07589",2,4,0.5,0.5
"431","Cortisol","C00735",3,6,0.5,0.5
"432","Cortisone","C00762",2,4,0.5,0.5
"441","Cytidine","C00475",10,20,0.5,0.5
"443","Cytidine monophosphate N-acetylneuraminic acid","C00128",7,14,0.5,0.5
"454","D-Galactose","C00984",7,14,0.5,0.5
"465","D-Myo-inositol 4-phosphate","C03546",2,4,0.5,0.5
"466","D-Pantothenoyl-L-cysteine","C04079",2,4,0.5,0.5
"480","dADP","C00206",10,20,0.5,0.5
"531","Dimethylamine","C00543",2,4,0.5,0.5
"541","Dolichol phosphate","C00110",3,6,0.5,0.5
"565","Ethanolamine","C00189",7,14,0.5,0.5
"571","FADH","C01352",7,14,0.5,0.5
"581","Fructose 1-phosphate","C01094",2,4,0.5,0.5
"596","Ganglioside GA2 (d18:1/12:0)","C06135",5,10,0.5,0.5
"664","Hyaluronan","None",5,10,0.5,0.5
"668","Hydrogen carbonate","C00288",10,20,0.5,0.5
"670","Hydrogen phosphate","C01293",2,4,0.5,0.5
"682","Hypothiocyanite","None",3,6,0.5,0.5
"689","Inositol 1,3,4-trisphosphate","C01243",2,4,0.5,0.5
"698","Isocitric acid","C00311",3,6,0.5,0.5
"707","Ketoleucine","C00233",2,4,0.5,0.5
"717","L-Asparagine","C00152",6,12,0.5,0.5
"721","L-Cystine","C00491",3,6,0.5,0.5
"732","L-Malic acid","C00149",3,6,0.5,0.5
"765","LysoPC(14:0)","C04230",10,20,0.5,0.5
"794","Myo-inositol hexakisphosphate","C01204",3,6,0.5,0.5
"805","N-Acetyl-L-aspartic acid","C01042",3,6,0.5,0.5
"854","Norspermidine","C03375",10,20,0.5,0.5
"855","O-Phosphoethanolamine","C00346",4,8,0.5,0.5
"864","Oleic acid","C00712",5,10,0.5,0.5
"877","Oxytocin","C00746",3,6,0.5,0.5
"883","Palmitic acid","C00249",37,74,0.5,0.5
"887","Pantetheine 4'-phosphate","C01134",5,10,0.5,0.5
"897","Pelargonic acid","C01601",2,4,0.5,0.5
"901","Phenylacetic acid","C07086",2,4,0.5,0.5
"908","Phosphocreatine","C02305",2,4,0.5,0.5
"918","Phosphorylcholine","C00588",6,12,0.5,0.5
"935","Propyl alcohol","C05979",15,30,0.5,0.5
"965","Rabeprazole","C07864",2,4,0.5,0.5
"993","Selenocystathionine","C05699",2,4,0.5,0.5
"995","Selenohomocysteine","C05698",2,4,0.5,0.5
"1006","Spermidine","C00315",14,28,0.5,0.5
"1017","Substance P","None",2,4,0.5,0.5
"1019","Succinic acid semialdehyde","C00232",2,4,0.5,0.5
"1023","Sumatriptan","C07319",5,10,0.5,0.5
"1024","Superoxide","C00704",2,4,0.5,0.5
"1041","TG(10:0/10:0/10:0)[iso]","None",12,24,0.5,0.5
"1058","Tiglyl-CoA","C03345",3,6,0.5,0.5
"1068","Trihexosylceramide (d18:1/12:0)","C04737",27,54,0.5,0.5
"1072","Tyramine","C00483",5,10,0.5,0.5
"1080","Ureidopropionic acid","C02642",2,4,0.5,0.5
"1082","Uridine","C00299",12,24,0.5,0.5
"1085","Uridine diphosphate glucose","C00029",8,16,0.5,0.5
"1099","Xanthurenic acid","C02470",2,4,0.5,0.5
"505","DG(14:0/0:0/14:0)","None",50,101,0.495049504950495,0.495049504950495
"838","NAD","C00003",118,239,0.493723849372385,0.493723849372385
"507","DG(16:0/16:0/0:0)","C00165",55,112,0.491071428571429,0.491071428571429
"885","Palmityl-CoA","C00154",45,92,0.489130434782609,0.489130434782609
"436","Cyclic GMP","C00942",22,45,0.488888888888889,0.488888888888889
"658","Heptanoyl-CoA","None",44,90,0.488888888888889,0.488888888888889
"374","Butyryl-CoA","C00136",42,86,0.488372093023256,0.488372093023256
"931","Pristanoyl-CoA","C07297",42,86,0.488372093023256,0.488372093023256
"434","Crotonoyl-CoA","C00877",40,82,0.48780487804878,0.48780487804878
"703","Isopropyl alcohol","C01845",20,41,0.48780487804878,0.48780487804878
"98","2-Methylbutyryl-CoA","C01033",39,80,0.4875,0.4875
"506","DG(14:0/14:0/0:0)","C16667",54,111,0.486486486486487,0.486486486486487
"304","Adenosine triphosphate","C00002",457,945,0.483597883597884,0.483597883597884
"1090","Uridine triphosphate","C00075",29,60,0.483333333333333,0.483333333333333
"189","3Z-dodecenoyl-CoA","C02944",41,85,0.482352941176471,0.482352941176471
"293","Acetyl-CoA","C00024",64,133,0.481203007518797,0.481203007518797
"979","S-Adenosylmethionine","C00019",51,106,0.481132075471698,0.481132075471698
"839","NADH","C00004",97,202,0.48019801980198,0.48019801980198
"508","DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","None",56,117,0.478632478632479,0.478632478632479
"853","Norepinephrine","C00547",11,23,0.478260869565217,0.478260869565217
"4","(2E)-Dodecenoyl-CoA","C03221",41,86,0.476744186046512,0.476744186046512
"558","Eicosanoyl-CoA","C02041",40,84,0.476190476190476,0.476190476190476
"994","Selenocysteine","C05688",10,21,0.476190476190476,0.476190476190476
"570","FAD","C00016",72,152,0.473684210526316,0.473684210526316
"1088","Uridine diphosphate-N-acetylglucosamine","C00043",18,38,0.473684210526316,0.473684210526316
"310","ADP","C00008",338,715,0.472727272727273,0.472727272727273
"5","(2E)-Hexadecenoyl-CoA","C05272",41,87,0.471264367816092,0.471264367816092
"860","Octanoyl-CoA","C01944",40,85,0.470588235294118,0.470588235294118
"1016","Stearoyl-CoA","C00412",40,85,0.470588235294118,0.470588235294118
"1042","TG(14:0/14:0/14:0)","None",16,34,0.470588235294118,0.470588235294118
"725","L-Glutamic acid","C00025",38,81,0.469135802469136,0.469135802469136
"643","Guanosine diphosphate","C00035",101,216,0.467592592592593,0.467592592592593
"1084","Uridine 5'-monophosphate","C00105",13,28,0.464285714285714,0.464285714285714
"373","Butyric acid","C00246",6,13,0.461538461538462,0.461538461538462
"459","D-Glyceraldehyde 3-phosphate","C00661",6,13,0.461538461538462,0.461538461538462
"1044","TG(18:0/18:0/18:0)","C00422",17,37,0.459459459459459,0.459459459459459
"1014","Stearic acid","C01530",28,61,0.459016393442623,0.459016393442623
"444","Cytidine triphosphate","C00063",27,59,0.457627118644068,0.457627118644068
"846","Niacinamide","C00153",16,35,0.457142857142857,0.457142857142857
"959","Pyruvic acid","C00022",26,57,0.456140350877193,0.456140350877193
"639","Guanidine","C17349",5,11,0.454545454545455,0.454545454545455
"665","Hyaluronic acid","C00518",10,22,0.454545454545455,0.454545454545455
"909","Phosphoenolpyruvic acid","C00074",5,11,0.454545454545455,0.454545454545455
"1021","Sulfate","C00059",14,31,0.451612903225806,0.451612903225806
"346","Aripiprazole","C12564",13,29,0.448275862068966,0.448275862068966
"762","LPA(0:0/16:0)","C00416",13,29,0.448275862068966,0.448275862068966
"656","Heptadecanoyl CoA","None",60,134,0.447761194029851,0.447761194029851
"1074","Ubiquinone-1","C00399",21,47,0.446808510638298,0.446808510638298
"16","(S)-3-Hydroxyhexadecanoyl-CoA","C05258",4,9,0.444444444444444,0.444444444444444
"105","2,2,2-Trichloroethanol","C07490",8,18,0.444444444444444,0.444444444444444
"154","3-Methylcrotonyl-CoA","C03069",4,9,0.444444444444444,0.444444444444444
"162","3-Oxodecanoyl-CoA","C05265",4,9,0.444444444444444,0.444444444444444
"165","3-Oxooctanoyl-CoA","C05267",4,9,0.444444444444444,0.444444444444444
"291","Acetoacetyl-CoA","C00332",8,18,0.444444444444444,0.444444444444444
"484","dCMP","C00239",4,9,0.444444444444444,0.444444444444444
"582","Fructose 1,6-bisphosphate","C00354",4,9,0.444444444444444,0.444444444444444
