"","Metabolite","KEGG_ID","Gene_Count","Mutation_Score","Normalized_Score"
"1069","Xanthurenic acid","C02470",4,0.00887036650064723,0.346929434617258
"806","N1-Acetylspermidine","C00612",3,0.00883595889630418,0.345212313531733
"638","Heparin","C00374",21,0.00883544305732567,0.345186570443726
"827","Nitric oxide","C00533",6,0.00879088739270419,0.342963007581333
"958","S-Glutaryldihydrolipoamide","C06157",3,0.0087746138424994,0.34215087152227
"156","3-Phosphoglyceric acid","C00597",8,0.00869722140454625,0.338288580333829
"619","Glycolic acid","C00160",6,0.00869229402310128,0.338042677989358
"818","Naphthalene epoxide","None",11,0.00868574050866711,0.337715623024793
"645","Homovanillic acid","C05582",3,0.00864040473415473,0.335453128560847
"875","Phenylacetic acid","C07086",3,0.00864040473415473,0.335453128560847
"740","Loratadine","C06818",4,0.00863406782262818,0.335136883224762
"348","Beta-D-Galactose","C00962",7,0.00863222209365796,0.335044771606025
"798","N-Methyltyramine","C02442",5,0.00860288453761759,0.333580672694272
"747","LysoPC(P-18:0)","C04230",7,0.0085709902850894,0.33198898113164
"265","7a-Hydroxydehydroepiandrosterone","C18045",3,0.00852662161476932,0.329774750271982
"567","Fructose 1,6-bisphosphate","C00354",8,0.00851780431107354,0.329334720273307
"438","D-Erythrose 4-phosphate","C00279",6,0.00848060467177082,0.327478261904867
"980","Sorbitol","C00794",8,0.00847866853346665,0.327381638383118
"111","21-Hydroxypregnenolone","C05485",4,0.00840917788520623,0.32391368821184
"450","D-Mannose","C00159",45,0.00839435856246936,0.323174125779915
"1044","Ubiquinol 8","None",6,0.00839002491161511,0.32295785372607
"966","Se-Adenosylselenomethionine","C05691",8,0.00834049570344069,0.320486084786342
"389","Chitin","C00461",5,0.00832368080479023,0.319646932582201
"887","Phosphoribosyl pyrophosphate","C00119",6,0.00827482084267015,0.31720856255336
"791","N-Acetylputrescine","C02714",4,0.00825401337235952,0.316170159947628
"84","2-Hydroxybutyric acid","C05984",4,0.00824607678623391,0.315774082404784
"552","Ethyl carbamate","C01537",3,0.00823311186896257,0.315127064594513
"1047","Undecaprenyl diphosphate","C03543",7,0.00820957476247579,0.313952438734551
"592","Geranyl-PP","C00341",3,0.00820953067136703,0.313950238355478
"557","Farnesyl pyrophosphate","C00448",9,0.00817600192619326,0.31227697698177
"949","Rosiglitazone","None",3,0.00806223479490806,0.306599396583503
"906","Progesterone","C00410",34,0.00803901107122089,0.305440410179508
"611","Glyceric acid 1,3-biphosphate","C00236",9,0.00802919591277269,0.30495058196127
"106","20-Hydroxy-leukotriene B4","C04853",5,0.00801653335810407,0.304318653640969
"1037","Trichloroethylene","C06790",10,0.00801585302107228,0.30428470123176
"1032","trans-1,2-Dihydrobenzene-1,2-diol","C04221",5,0.00800875030125507,0.303930238019469
"413","Coenzyme Q10","C11378",8,0.00800113597296559,0.303550242843762
"775","N-(o)-Hydroxyarginine","C05933",4,0.00794791496789084,0.30089423375067
"771","Myo-inositol 1-phosphate","C04006",5,0.00794511125848938,0.300754313851483
"529","Dolichol phosphate","C00110",6,0.00794096630402639,0.300547458743642
"107","20-Hydroxyeicosatetraenoic acid","C14748",7,0.00792813213990643,0.299906966205837
"207","4,8 Dimethylnonanoyl carnitine","None",3,0.00790151125599506,0.298578443573928
"1048","Uracil","C00106",6,0.00790005612928136,0.298505825069679
"614","Glycerophosphocholine","C00670",13,0.00788169401237758,0.297589458507334
"57","15(S)-HETE","C04742",5,0.00786107560758921,0.296560491269191
"895","Phytosphingosine","C12144",31,0.00785635159311125,0.296324738009895
"736","Lithocholic acid","C03990",13,0.00785153408700698,0.296084319024929
"582","Ganglioside GD2 (d18:1/12:0)","None",28,0.00782914351148084,0.294966911112142
"928","Pyrocatechol","C00090",6,0.00781943395665873,0.2944823530723
"388","Chenodeoxyglycocholoyl-CoA","None",3,0.00781838899248452,0.294430203843913
"606","Glucosylsphingosine","C03108",30,0.00775270909910204,0.29115243045703
"126","3-Dehydrosphinganine","C02934",32,0.0077315574769039,0.290096852855423
"104","2'-Deoxyguanosine 5'-monophosphate","C00362",7,0.00770724145766953,0.288883355137678
"923","Pyridoxal","C00250",4,0.00766851052206154,0.286950477000291
"275","9-cis-Retinoic acid","C15493",3,0.00765100935171162,0.286077076215697
"446","D-Glyceraldehyde 3-phosphate","C00661",11,0.00764915964382332,0.285984766027943
"584","Ganglioside GD3 (d18:1/24:1(15Z))","C06133",29,0.00762386865273598,0.284722612068112
"488","Deoxyuridine triphosphate","C00460",8,0.0076217050419213,0.28461463646732
"79","2-Arachidonylglycerol","C13856",5,0.0076188107897974,0.284470198008332
"149","3-O-Sulfogalactosylceramide (d18:1/24:0)","C06125",54,0.00761580761212659,0.284320323589564
"321","Androstanedione","C00674",6,0.00761437543009693,0.284248850146167
"743","LysoPC(10:0)","None",11,0.00757063077872379,0.282065761125995
"1017","TG(14:0/14:0/14:0)","None",29,0.00757043365100871,0.282055923412427
"578","Gamma-Aminobutyric acid","C00334",36,0.00756939883125447,0.282004280444145
"793","N-Glycoloylganglioside GM1","C01808",32,0.00756277212373498,0.281673572758255
"431","Cytidine triphosphate","C00063",50,0.00755422812984629,0.281247182361685
"332","Argininosuccinic acid","C03406",5,0.00753206338051272,0.280141044367985
"504","Diethylthiophosphate","C06607",3,0.00752234688735047,0.279656140068345
"648","Hydrochloric acid","C01327",12,0.00751310727976091,0.279195034876137
"577","Galactosylsphingosine","C01747",32,0.00750061822914869,0.278571765324133
"369","Capric acid","C01571",4,0.00750044074678219,0.278562908017161
"425","Cysteamine","C01678",4,0.00748154732927927,0.277620026750322
"290","Adenosine phosphosulfate","C00224",5,0.00747780058115782,0.277433044240952
"583","Ganglioside GD3 (d18:1/12:0)","C06133",30,0.00746337265644628,0.276713014636579
"101","2,3-Diphosphoglyceric acid","C01159",4,0.00744944320277161,0.276017861368245
"516","Dihydroxyacetone phosphate","C00111",12,0.00743623795023403,0.275358849559522
"247","5a-Pregnane-3,20-dione","C03681",5,0.00742464244335125,0.274780172556402
"405","Citicoline","C00307",7,0.00740594948670499,0.27384729534449
"476","Dehydroepiandrosterone","C01227",9,0.00740494436913289,0.273797134671888
"563","Formyl-CoA","C00798",10,0.00739352927611407,0.273227461272938
"794","N-Glycoloylganglioside GM2","C01808",33,0.00739045092628482,0.273073835366649
"774","Myristic acid","C06424",55,0.00736239925851051,0.271673909067243
"1064","Valdecoxib","None",3,0.00735772776057087,0.271440776660431
"608","Glutaryl-CoA","C00527",5,0.00735679223997587,0.27139408924437
"919","Pseudouridine","C02067",10,0.00734580264941069,0.270845650663973
"571","Galabiosylceramide (d18:1/9Z-18:1)","C06126",45,0.00734229370624083,0.270670535876998
"480","Deoxycholic acid","C04483",10,0.00733259981323525,0.270186759444476
"886","Phosphoribosyl formamidocarboxamide","C04734",3,0.00732450996128143,0.269783033127753
"993","Substance P","None",4,0.00731490779616472,0.269303834401094
"892","Phosphorylcholine","C00588",13,0.00728894110654882,0.26800795951785
"872","Pentadecanoic acid","C16537",50,0.00728554770824433,0.267838611029588
"826","Nicotinic acid mononucleotide","C01185",9,0.00727877513734463,0.26750062399105
"1061","Uridine triphosphate","C00075",49,0.00727278080138126,0.267201474983936
"387","Chenodeoxyglycocholic acid","C05462",10,0.00726073102791617,0.266600127680403
"274","9-cis-Retinal","C16681",9,0.00725409348640953,0.266268879321364
"995","Succinic acid semialdehyde","C00232",3,0.00725309692009046,0.266219145401428
"814","NADH","C00004",166,0.00722784490447296,0.264958936523283
"579","Gamma-Glutamylcysteine","C00669",3,0.00722566264484621,0.264850030248327
"386","Chenodeoxycholic acid","C02528",13,0.00721839085455372,0.264487129526839
"974","Serotonin","C00780",23,0.00721739300343535,0.264437331488635
"739","Loperamide","C07080",10,0.00721430837703348,0.264283392348241
"650","Hydrogen carbonate","C00288",19,0.00721012148312297,0.264074444240581
"1039","Trihexosylceramide (d18:1/12:0)","C04737",47,0.00720471306550359,0.263804535651742
"837","Oleamide","C19670",3,0.00720274710809166,0.263706423999108
"996","Succinyl-CoA","C00091",13,0.00719962603072156,0.263550665762983
"16","(S)-3-Hydroxyisobutyric acid","C06001",4,0.00719452512928621,0.263296103855026
"612","Glycerol","C00116",40,0.0071858128520042,0.262861315228805
"550","Escitalopram","None",3,0.00718274746779773,0.262708336375535
"360","Bradykinin","C00306",11,0.00717558869543315,0.262351075845242
"746","LysoPC(O-18:0)","C04317",20,0.0071747714045847,0.262310288717638
"1003","Taurocholic acid","C05122",24,0.00716948442362902,0.262046440459351
"588","Ganglioside GM3 (d18:1/25:0)","C04730",37,0.00716663615365582,0.261904296752411
"132","3-Hydroxyanthranilic acid","C00632",7,0.00716484666325593,0.261814991735201
"857","Palmitic acid","C00249",69,0.00715529157481656,0.261338142383247
"1072","Zolpidem","C07219",7,0.00712934664669749,0.260043353513569
"984","Sphinganine","C00836",46,0.00712419453329434,0.259786235858083
"570","Fumaric acid","C00122",10,0.00712348783830895,0.259750968047852
"990","Stearic acid","C01530",58,0.00711942663151442,0.25954829239075
"752","Malonyl-CoA","C00083",11,0.00711176184819177,0.259165779242549
"231","5-Methoxytryptamine","C05659",7,0.00710612482418789,0.25888446198837
"140","3-Methoxy-4-hydroxyphenylglycolaldehyde","C05583",5,0.0071022110203206,0.258689142515438
"987","Sphingosine 1-phosphate","C06124",37,0.0070777011745949,0.257465971832616
"985","Sphinganine 1-phosphate","C01120",38,0.00707046485653807,0.257104841362937
"585","Ganglioside GM1 (18:1/12:0)","C04911",39,0.00706099239265939,0.256632115412714
"356","Biliverdin","C00500",4,0.0070423046479563,0.25569949830428
"575","Galactosylceramide (d18:1/16:0)","C02686",52,0.00702927049478582,0.255049025257164
"1019","TG(18:0/18:0/18:0)","C00422",34,0.0070241425515875,0.254793113822487
"1016","TG(10:0/10:0/10:0)[iso]","None",23,0.00702317041466668,0.25474459905848
"182","4-Coumaryl alcohol","C02646",4,0.00701264732835221,0.254219441502749
"977","SM(d16:1/24:1(15Z))","None",37,0.00701258689884337,0.254216425751266
"838","Oleic acid","C00712",8,0.00701030772538629,0.254102682964593
"861","Pantetheine 4'-phosphate","C01134",9,0.00700916172050968,0.254045491271788
"482","Deoxyguanosine","C00330",6,0.00700424622227472,0.253800181962225
"68","1b-Hydroxycholic acid","None",9,0.0070042146987479,0.253798608771832
"1018","TG(16:0/16:0/18:0)[iso3]","C00422",27,0.00700207946358676,0.25369204926594
"380","Celecoxib","C07589",4,0.00698597275751731,0.252888239609956
"986","Sphingosine","C00319",50,0.00698574832364842,0.25287703917517
"978","SM(d18:1/18:0)","C00550",39,0.0069679995042071,0.251991279393641
"289","Adenosine diphosphate ribose","C00301",7,0.00696657833336955,0.251920355466855
"807","N1-Acetylspermine","C02567",25,0.00696273024932104,0.251728315759799
"938","Quinone","C00472",5,0.00694931435407593,0.251058791768041
"823","Nicotinamide ribotide","C00455",8,0.00694837648228663,0.251011987014973
"862","Pantoprazole","C11806",7,0.0069468247761319,0.250934548686799
"160","3,4-Dihydroxymandelaldehyde","C05577",12,0.00694464500317408,0.250825766509748
"586","Ganglioside GM2 (d18:1/12:0)","C04884",40,0.00693939733129715,0.250563879981993
"964","Sarcosine","C00213",4,0.00693673642484355,0.250431086703724
"298","ADP","C00008",696,0.00693599684806093,0.250394177918238
"330","Arachidonic acid","C00219",99,0.00692633389843017,0.249911945723461
"847","Oxidized glutathione","C00127",10,0.00692071923228407,0.249631744244407
"688","Ketoleucine","C00233",4,0.00691295788269316,0.249244411929672
"587","Ganglioside GM3 (d18:1/12:0)","C04730",35,0.00691217668972512,0.249205426276852
"63","17a-Hydroxypregnenolone","C05138",6,0.00690208183465515,0.248701639720742
"944","Retinyl palmitate","C02588",4,0.00690028434376347,0.24861193543676
"965","Se-Adenosylselenohomocysteine","C05692",8,0.00688987275095265,0.248092341995406
"603","Glucosylceramide (d18:1/16:0)","C01190",48,0.00688976130779382,0.248086780393501
"423","Cyclic AMP","C00575",143,0.0068814017152648,0.247669592598185
"551","Ethanolamine","C00189",14,0.00687453831224424,0.247327072557337
"604","Glucosylceramide (d18:1/20:0)","C01190",49,0.00686884990639591,0.247043191077888
"727","Leukotriene D4","C05951",5,0.00686861712428324,0.24703157402167
"605","Glucosylceramide (d18:1/24:0)","None",46,0.00685780823484879,0.246492153381571
"548","Epinephrine","C00788",8,0.00684977178875304,0.246091092299082
"319","Anandamide","C11695",4,0.00684211988111017,0.24570922171527
"625","Guanine","C00242",7,0.00683923712186153,0.245565356811425
"6","(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid","None",15,0.00683768863079243,0.245488078932995
"490","Dermatan","C00426",13,0.00683332059467155,0.245270090872835
"162","3,4-Dihydroxyphenylglycol","C05576",7,0.00683209784806943,0.245209069362827
"602","Glucosylceramide (d18:1/12:0)","C01190",47,0.00683137513629974,0.245173002230512
"313","Alpha-Lactose","C00243",4,0.00682918578008158,0.245063741798183
"32","1-Phosphatidyl-1D-myo-inositol 3-phosphate","C04549",3,0.00682712686390281,0.244960991012379
"744","LysoPC(14:0)","C04230",22,0.00682098363276146,0.244654411349904
"633","Heme","C00032",137,0.00681778993909496,0.244495029177266
"1020","Thiamine pyrophosphate","C00068",16,0.00681112405256042,0.244162366251709
"813","NAD","C00003",205,0.00680453285462073,0.243833430681296
"1009","Tetrahexosylceramide (d18:1/9Z-18:1)","C03272",43,0.00680172125102304,0.243693116820047
"245","5(S)-Hydroperoxyeicosatetraenoic acid","C05356",6,0.0067981762605281,0.243516203081265
"756","Melatonin","C01598",16,0.00679599675390671,0.243407434195809
"1065","Vasopressin","C00840",6,0.00679569954378005,0.243392601841593
"725","Leukotriene B4","C02165",7,0.00679476350161597,0.243345888396482
"712","L-Malic acid","C00149",4,0.00679385725373742,0.243300661843495
"822","Nicotinamide riboside","C03150",8,0.00678895708345886,0.243056117479869
"292","Adenosine triphosphate","C00002",912,0.0067867380892597,0.242945377955837
"541","dUDP","C01346",8,0.00678276149970991,0.242746925145919
"1038","Tridecanoyl-CoA","None",5,0.00678064455677268,0.242641278518559
"209","4a-Carboxy-4b-methyl-5a-cholesta-8,24-dien-3b-ol","C15808",11,0.00677216336494243,0.242218022276221
"1042","Tryptamine","C00398",5,0.00675931018309736,0.241576580653543
"375","Carnosine","C00386",6,0.00675556973885368,0.24138991274095
"509","Dihydrofolic acid","C00415",3,0.00675175250153311,0.24119941244845
"362","Butyric acid","C00246",15,0.00675050600985699,0.241137205933905
"278","Acetoacetyl-CoA","C00332",14,0.0067492430674009,0.241074178438601
"535","Donepezil","None",5,0.00674822165611454,0.241023204623647
"601","Glucosylceramide","C01190",46,0.00674654736548196,0.240939648682936
"719","Lactosylceramide (d18:1/12:0)","C01290",54,0.00673867313030319,0.240546682781473
"680","Isocitric acid","C00311",6,0.0067377483253391,0.24050053013196
"701","L-Cystine","C00491",6,0.00673667743061101,0.240447086832053
"745","LysoPC(18:1(9Z))","C04230",23,0.00672999010036778,0.240113353752236
"925","Pyridoxine","C00314",6,0.00672871172364581,0.240049556005592
"88","2-Ketobutyric acid","C00109",17,0.00672634706843089,0.239931547227966
"148","3-O-Sulfogalactosylceramide (d18:1/12:0)","C06125",45,0.00671520029828159,0.239375264556612
"1053","Uridine","C00299",17,0.00670912251680615,0.239071951177958
"832","Octadecanol","D01924",5,0.0067060783536416,0.2389200313667
"661","Hyodeoxycholic acid","None",10,0.00670140754298842,0.23868693325911
"555","FAD","C00016",129,0.00668185420558236,0.237711118505558
"1029","Thyroxine","C01829",8,0.00668174516381934,0.23770567674598
"800","N-Palmitoylsphingosine","None",48,0.00667505939102639,0.237372021391154
"378","CDP-Ethanolamine","C00570",3,0.00667488241104308,0.237363189155755
"1008","Tetrahexosylceramide (d18:1/12:0)","C03272",48,0.00666357314720268,0.236798797191453
"936","Quetiapine","C07397",9,0.00665927535468585,0.236584314657933
"344","Beta-Alanine","C00099",16,0.00664596742331144,0.235920178633237
"642","Histamine","C00388",10,0.0066407280529911,0.235658706396977
"946","Ribose 1-phosphate","C00620",5,0.00663427859724774,0.235336844510381
"850","Oxygen","C00007",162,0.0066340668614684,0.235326277777294
"1026","Thymidine","C00214",7,0.00663031419695905,0.235139000008936
"948","Risperidone","C06861",7,0.00662008284924005,0.234628401749131
"637","Heparan sulfate","C00925",12,0.00661566972317697,0.234408163462837
"881","Phosphoadenosine phosphosulfate","C00053",37,0.00661367834633996,0.234308783246709
"841","Ornithine","C00077",16,0.00661289136444701,0.234269508695978
"651","Hydrogen peroxide","C00027",46,0.00661155033843615,0.234202584419108
"890","Phosphoric acid","C00009",585,0.00659652755130695,0.23345286803997
"507","Dihydroceramide","C12126",53,0.00659546961743095,0.233400071554999
"542","dUMP","C00365",6,0.00659154598062847,0.233204261366696
"572","Galactaric acid","C00879",6,0.00658789952885923,0.233022284174739
"628","Guanosine diphosphate mannose","C00096",8,0.00658389029400571,0.232822202191839
"161","3,4-Dihydroxyphenylacetaldehyde","C04043",7,0.00658125643102016,0.232690758525381
"189","4-Hydroxyphenylacetaldehyde","C03765",7,0.00658125643102016,0.232690758525381
"714","L-Palmitoylcarnitine","C02990",5,0.00656960084776039,0.232109083393922
"911","Prostaglandin E2","C00584",12,0.00656939513814261,0.232098817398107
"1001","Taurine","C00245",10,0.00656930721938137,0.232094429787821
"667","Iduronic acid","C06472",12,0.00656626533864997,0.231942623882026
"384","Ceramide (d18:1/20:0)","C00195",56,0.00654773208468256,0.231017716676819
"1043","Tyramine","C00483",8,0.00652901500233982,0.2300836354653
"277","Acetoacetic acid","C00164",9,0.00652719070521828,0.229992593408944
"536","Dopamine","C03758",23,0.006527004652705,0.229983308406409
"882","Phosphocreatine","C02305",3,0.00652686653037895,0.229976415373227
"824","Nicotinate D-ribonucleoside","C05841",7,0.00652194971566603,0.229731040364464
"382","Ceramide (d18:1/12:0)","C00195",54,0.00652105786277582,0.229686532197383
"58","15(S)-HPETE","C05966",30,0.00651778338529552,0.229523118486
"441","D-Galactose","C00984",14,0.00651435433181243,0.229351990616111
"538","dTDP","C00363",16,0.00651229569284109,0.229249253664421
"381","Cer(d18:1/23:0)","None",50,0.00651188096134894,0.229228556373703
"174","3a,7a,12a-Trihydroxy-5b-cholestanoic acid","C04722",11,0.00650783641159028,0.229026711990618
"312","Alpha-ketoisovaleric acid","C00141",10,0.00650272062147045,0.228771407058711
"196","4-Nitrophenol","C00870",12,0.00650130844430713,0.228700931963745
"322","Androstenedione","C00280",39,0.00649648377362574,0.22846015542856
"883","Phosphoenolpyruvic acid","C00074",10,0.00649481687356617,0.228376968316455
"138","3-Mercaptopyruvic acid","C00957",5,0.00649481657782012,0.228376953557166
"866","PC(dm16:0/dm16:0)","None",38,0.00649221574385238,0.228247158213049
"561","Flavin Mononucleotide","C00061",25,0.00649148565441832,0.228210722896337
"30","1-Pentanol","C16834",31,0.00648969178905284,0.22812119954525
"288","Adenosine 3',5'-diphosphate","C00054",34,0.00647860550057707,0.227567935228672
"93","2-Methylacetoacetyl-CoA","C03344",7,0.00647779056816353,0.22752726579942
"863","Parathion","C06604",26,0.00647365378030685,0.227320818248343
"398","Chondroitin","C00401",12,0.00646421758310215,0.226849902196594
"997","Sulfate","C00059",24,0.00646319972627403,0.226799105767869
"171","3a,7a-Dihydroxycoprostanic acid","None",12,0.00645334141504905,0.226307123998278
"370","Caproic acid","C01585",10,0.00644948512053431,0.226114674545616
"669","Inosine triphosphate","C00081",21,0.0064471585929487,0.225998568537959
"663","Hypotaurine","C00519",3,0.00644593680428704,0.225937594834237
"406","Citric acid","C00158",20,0.00642252933451337,0.224769438530578
"376","CDP","C00112",21,0.00641895412306928,0.224591016606905
"621","Glyoxylic acid","C00048",9,0.006417188140608,0.224502884759925
"448","D-Lactic acid","C00256",4,0.00640119071706255,0.223704528878763
"238","5,10-Methylene-THF","C00143",8,0.00640037160982648,0.223663651103829
"942","Retinal","C00376",16,0.00640016950903957,0.223653565207724
"92","2-Methyl-3-oxopropanoic acid","C00349",7,0.00639884226879281,0.223587328913255
"424","Cyclic GMP","C00942",43,0.00639814005652357,0.223552284814223
"930","Pyrophosphate","C00013",289,0.0063979610596208,0.223543351923897
"943","Retinyl ester","C02075",6,0.00639738239565857,0.223514473537565
"1010","Tetrahydrobiopterin","C00272",10,0.00638591052426464,0.222941966597978
"810","N5-Formyl-THF","C03479",6,0.0063672782594914,0.222012118230907
"444","D-Glucurono-6,3-lactone","C02670",8,0.00636668824806291,0.221982673546109
"428","Cytidine","C00475",15,0.00636563253603553,0.221929987943113
"1056","Uridine diphosphate glucose","C00029",15,0.00636550232653353,0.221923489801621
"154","3-Oxooctanoyl-CoA","C05267",7,0.00635964144201513,0.221631000726066
"155","3-Oxotetradecanoyl-CoA","C05261",7,0.00635964144201513,0.221631000726066
"471","dCDP","C00705",10,0.00635309770824653,0.221304433868341
"720","Lactosylceramide (d18:1/18:0)","C01290",49,0.00634771776138163,0.221035946120441
"530","Dolichol-20","C00381",16,0.00634296928745938,0.22079897220576
"666","IDP","C00104",24,0.00634005150618567,0.220653359517993
"66","19-Hydroxyandrost-4-ene-3,17-dione","C05290",23,0.00633686772286638,0.220494471923995
"157","3-Sulfinoalanine","C00606",5,0.00633267836164199,0.220285400684348
"497","dGDP","C00361",12,0.00633186317788301,0.220244718711632
"286","Adenosine","C00212",16,0.00632269160290037,0.219787008705636
"1059","Uridine diphosphate-N-acetylglucosamine","C00043",29,0.00632049199140622,0.2196772364809
"496","DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","None",119,0.00631716257792277,0.219511081172967
"1067","Xanthosine","C01762",6,0.00631572041186123,0.219439109473676
"383","Ceramide (d18:1/16:0)","C00195",61,0.00631219831567338,0.219263338281671
"630","Guanosine triphosphate","C00044",484,0.00631001217087925,0.219154238116354
"1060","Uridine diphosphategalactose","C00052",12,0.00630676110368239,0.218991992701691
"318","Amylose","C00718",6,0.00630612917593873,0.2189604561715
"687","Keratan","C00573",11,0.00629833436366345,0.218571453892174
"283","Acetylcysteine","C06809",3,0.00628805582805996,0.21805850070784
"494","DG(14:0/14:0/0:0)","C16667",113,0.00627632910792094,0.217473275470593
"495","DG(16:0/16:0/0:0)","C00165",114,0.00626524316248585,0.216920028273556
"443","D-Glucose","C00031",27,0.00626524012315896,0.216919876595101
"407","Citrulline","C00327",13,0.00626030686063756,0.216673680753871
"1055","Uridine 5'-monophosphate","C00105",24,0.0062530292074016,0.216310487440555
"901","Pregnenolone","C01953",9,0.00625014761667607,0.216166680852183
"218","5-Androstenediol","C04295",6,0.00624905549329076,0.21611217813022
"257","7-Dehydrocholesterol","C01164",5,0.00622619039916089,0.214971089234247
"308","All-trans-retinoic acid","C00777",52,0.00622436300442525,0.214879892590596
"870","PE(P-16:0e/16:0)","C04756",36,0.00621908538874676,0.214616511709077
"655","Hydroxycobalamin","C08230",9,0.00621739823904859,0.214532314033113
"15","(S)-3-Hydroxyhexadecanoyl-CoA","C05258",7,0.00621205224055507,0.214265520488149
"639","Heptadecanoyl CoA","None",135,0.00621078895397862,0.214202475819422
"531","Dolichyl b-D-glucosyl phosphate","C01246",5,0.00620367212371312,0.213847308421275
"894","Phytanoyl-CoA","C02060",3,0.00620115403673525,0.213721642588752
"67","19-Oxotestosterone","C05295",24,0.00620064342868764,0.21369616055181
"282","Acetylcholine","C01996",3,0.00619056666058453,0.213193276630823
"868","PE(O-18:1(1Z)/20:4(5Z,8Z,11Z,14Z))","C00350",37,0.00618681620602767,0.21300610915076
"412","Coenzyme A","C00010",159,0.00618647465521449,0.212989063962225
"864","PC(16:0/16:0)","C00157",65,0.00618413146193396,0.212872126248417
"705","L-Glutamic acid","C00025",82,0.00618396433341288,0.212863785652988
