"","Metabolite","KEGG_ID","Gene_Count","Structural_Score","Normalized_Score"
"247","5a-Pregnane-3,20-dione","C03681",5,0.00309597523219814,0.301341589267286
"675","Inositol cyclic phosphate","C04299",1,0.00309597523219814,0.301341589267286
"1012","Tetrahydrocortisone","None",1,0.00309597523219814,0.301341589267286
"1032","trans-1,2-Dihydrobenzene-1,2-diol","C04221",5,0.00309597523219814,0.301341589267286
"691","L-2-Aminoadipate adenylate","C05560",3,0.00307950876378152,0.299738853008068
"297","Adipate semialdehyde","C06102",1,0.00307692307692308,0.29948717948718
"914","Prostaglandin H2","C00427",8,0.00303164815660046,0.295080420575779
"409","Clopidogrel","None",5,0.00302228623012581,0.294169193065579
"244","5'-Methylthioadenosine","C00170",2,0.00302174935765208,0.294116937478136
"361","Butanal","C01412",1,0.00302114803625378,0.294058408862034
"711","L-Lactic acid","C00186",3,0.00301204819277108,0.293172690763052
"593","Geranylgeranyl-PP","C00353",5,0.00299577140485206,0.291588416738933
"683","Isopentenyl pyrophosphate","C00129",7,0.00296258902986366,0.288358665573396
"435","D-Alanine","C00133",1,0.00288184438040346,0.280499519692603
"372","Carbamoyl phosphate","C00169",3,0.0028742038553503,0.279755841920763
"856","Palmitaldehyde","C00517",5,0.0028735632183908,0.279693486590038
"28","1-Methylhistidine","C01152",2,0.00286943246526037,0.279291426618676
"205","4,6-Dideoxy-4-oxo-dTDP-D-glucose","C11907",1,0.00285714285714286,0.278095238095238
"509","Dihydrofolic acid","C00415",3,0.00284749392060048,0.277156074938447
"739","Loperamide","C07080",10,0.00281498066287049,0.273991451186061
"716","L-Sorbose","C08356",1,0.00280112044817927,0.272642390289449
"95","2-Methylpropan-2-ol","None",2,0.00279427685285426,0.271976280344481
"334","Arsenic","C06269",2,0.00277011494252874,0.269624521072797
"899","Porphobilinogen","C00931",1,0.00277008310249307,0.269621421975993
"84","2-Hydroxybutyric acid","C05984",4,0.00275019528013823,0.267685673933455
"33","1-Phosphatidyl-D-myo-inositol","C01194",22,0.00271807937915766,0.264559726238012
"118","3 alpha,7 alpha,24-Trihydroxy-5beta-cholestanoyl-CoA","C05448",1,0.00271739130434783,0.264492753623188
"769","Molybdate","C06232",1,0.00271739130434783,0.264492753623188
"176","3a,7a,12a,24-Tetrahydroxy-5b-cholestanoyl-CoA","C05450",3,0.00271605929827282,0.264363105031888
"798","N-Methyltyramine","C02442",5,0.00270588374213442,0.263372684234417
"565","Fructosamine","None",3,0.00270476491172679,0.263263784741407
"589","GDP-4-Dehydro-6-deoxy-D-mannose","C01222",2,0.00268817204301075,0.261648745519713
"59","16a-Hydroxydehydroisoandrosterone","C05139",2,0.00268456859523192,0.261298009935907
"949","Rosiglitazone","None",3,0.0026806762308884,0.260919153139804
"44","11b-Hydroxyandrost-4-ene-3,17-dione","C05284",7,0.00266820587514324,0.259705371847276
"520","Dimethylarsinate","C07308",1,0.00266666666666667,0.259555555555556
"273","8Z,11Z,14Z-eicosatrienoyl-CoA","None",1,0.00263157894736842,0.256140350877193
"960","S-Methylmalonyl-CoA","C00683",3,0.00262942811802747,0.255931003488007
"721","Lactosylcermide (d18:1/20:0)","C01290",1,0.00261780104712042,0.254799301919721
"736","Lithocholic acid","C03990",13,0.00261395926315546,0.254425368280465
"321","Androstanedione","C00674",6,0.00257997936016512,0.251117991056072
"928","Pyrocatechol","C00090",6,0.00257997936016512,0.251117991056072
"1041","Triphosphate","C00536",2,0.00257731958762887,0.25085910652921
"1068","Xanthosine 5-triphosphate","C00700",2,0.00257731958762887,0.25085910652921
"401","Ciliatine","C03557",1,0.0025706940874036,0.250214224507284
"550","Escitalopram","None",3,0.00253317267569781,0.246562140434587
"130","3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA","C11947",3,0.00253255115180999,0.246501645442839
"432","Cytosine","C00380",2,0.00249464340373431,0.242811957963473
"688","Ketoleucine","C00233",4,0.002484976350673,0.241871031465506
"337","Atorvastatin","C06834",15,0.00246416635964484,0.239845525672097
"1069","Xanthurenic acid","C02470",4,0.00244073509198064,0.237564882286116
"142","3-Methyl-1-hydroxybutyl-ThPP","C15974",2,0.00239910570969961,0.233512955744095
"950","S-(3-Methylbutanoyl)-dihydrolipoamide-E","C05119",2,0.00239910570969961,0.233512955744095
"902","Presqualene diphosphate","C03428",1,0.00239808153477218,0.233413269384492
"822","Nicotinamide riboside","C03150",8,0.00238697763883342,0.232332490179786
"557","Farnesyl pyrophosphate","C00448",9,0.0023743823141829,0.231106545247136
"15","(S)-3-Hydroxyhexadecanoyl-CoA","C05258",7,0.00236923389089526,0.230605432047139
"111","21-Hydroxypregnenolone","C05485",4,0.00235443004660381,0.229164524536104
"615","Glycerylphosphorylethanolamine","C01233",6,0.00234741784037559,0.22848200312989
"826","Nicotinic acid mononucleotide","C01185",9,0.00232852241191247,0.226642848092814
"966","Se-Adenosylselenomethionine","C05691",8,0.00232408873123908,0.226211303173937
"750","Maleylacetoacetic acid","C01036",2,0.00231481481481481,0.225308641975309
"535","Donepezil","None",5,0.00228503055070859,0.222409640268969
"747","LysoPC(P-18:0)","C04230",7,0.0022795951740405,0.221880596939942
"104","2'-Deoxyguanosine 5'-monophosphate","C00362",7,0.00222614998417602,0.2166785984598
"852","p-Octopamine","C04227",1,0.00222222222222222,0.216296296296296
"757","Melibiitol","C05399",2,0.00220264317180617,0.2143906020558
"1","(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol","C16015",1,0.0021978021978022,0.213919413919414
"936","Quetiapine","C07397",9,0.00217475266477566,0.211675926038165
"418","Corticosterone","C02140",8,0.00216586091648366,0.210810462537743
"1000","Superoxide","C00704",3,0.00216450216450216,0.210678210678211
"275","9-cis-Retinoic acid","C15493",3,0.00216294384760907,0.210526534500617
"188","4-Hydroxybutyric acid","C00989",1,0.00214132762312634,0.20842255531763
"60","16a-Hydroxyestrone","C05300",3,0.00213846565089548,0.208143990020494
"3","(24R)-Cholest-5-ene-3-beta,24-diol","None",1,0.00213219616204691,0.207533759772566
"680","Isocitric acid","C00311",6,0.00212632725105997,0.20696251910317
"373","Carbon monoxide","C00237",5,0.00212408876950477,0.206744640231798
"624","Guanidoacetic acid","C00581",2,0.00211864406779661,0.206214689265537
"525","Docosa-4,7,10,13,16-pentaenoyl CoA","C16173",1,0.00210970464135021,0.205344585091421
"105","2'-Deoxyinosine triphosphate","C01345",5,0.00209475762228559,0.203889741902464
"366","Calcidiol","C01561",3,0.00208531653451464,0.202970809359425
"367","Calcitriol","C01673",3,0.00208531653451464,0.202970809359425
"843","Orotidylic acid","C01103",1,0.00208333333333333,0.202777777777778
"1023","Thiosulfate","C00320",1,0.00208333333333333,0.202777777777778
"8","(E)-2-Methylglutaconic acid","None",2,0.00206896551724138,0.201379310344828
"249","6-(N-Acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol","C01288",1,0.00206611570247934,0.201101928374656
"937","Quinolinic acid","C03722",1,0.00205761316872428,0.200274348422497
"760","Methacrylyl-CoA","C03460",6,0.00205368447074361,0.199891955152378
"542","dUMP","C00365",6,0.00205296355373757,0.199821785897124
"825","Nicotinic acid adenine dinucleotide","C00857",6,0.00204350825554987,0.198901470206854
"758","Menadione","C05377",19,0.00203575785508333,0.198147097894777
"620","Glycylproline","None",1,0.00202839756592292,0.197430696416498
"916","Protoporphyrin IX","C02191",4,0.00201958797703479,0.196573229764719
"954","S-Adenosylmethioninamine","C01137",3,0.00201449957176806,0.196077958318757
"38","1,4-beta-D-Glucan","C00760",2,0.00199893390191898,0.19456289978678
"801","N-Sulfo-D-glucosamine","C01075",1,0.00199203187250996,0.193891102257636
"136","3-Hydroxyquinine","C07344",1,0.00198807157057654,0.19350563286945
"385","Cetirizine","C07778",2,0.00198807157057654,0.19350563286945
"143","3-Methyl-2-oxovaleric acid","C03465",5,0.0019879810805384,0.193496825172405
"1030","Tiglyl-CoA","C03345",5,0.00198249365404896,0.192962715660765
"558","Farnesylcysteine","C19691",1,0.00198019801980198,0.192739273927393
"144","3-Methylcrotonyl-CoA","C03069",7,0.00197789844732328,0.192515448872799
"480","Deoxycholic acid","C04483",10,0.00196094979216519,0.190865779770745
"549","Ercalcitriol","None",2,0.00195701461441833,0.190482755803385
"146","3-Methylhistidine","C01152",6,0.00195588782594896,0.190373081725699
"198","4-Oxoretinal","None",1,0.001953125,0.190104166666667
"112","24-Hydroxycalcitriol","None",1,0.00194552529182879,0.189364461738003
"7","(3S)-3-Hydroxyadipyl-CoA","C14145",5,0.00194147161935603,0.188969904283987
"231","5-Methoxytryptamine","C05659",7,0.00193277410152459,0.188123345881726
"833","Octanol","C00756",2,0.00192678227360308,0.187540141297367
"194","4-Methylpentanal","C02373",1,0.00191938579654511,0.18682021753039
"926","Pyridoxine 5'-phosphate","C00627",2,0.00191570881226054,0.186462324393359
"64","17a,21-Dihydroxypreg-nenolone","C05487",6,0.00190096529283197,0.185027288502311
"17","(S)-3-Hydroxyisobutyryl-CoA","C06000",4,0.00189941336385749,0.184876234082129
"134","3-Hydroxybutyryl-CoA","C03561",4,0.00189941336385749,0.184876234082129
"965","Se-Adenosylselenohomocysteine","C05692",8,0.00189575999022517,0.184520639048584
"63","17a-Hydroxypregnenolone","C05138",6,0.00188951766382673,0.183913052612468
"150","3-Oxodecanoic acid","None",2,0.00188582003888772,0.183553150451738
"43","11,12-EpETrE","None",3,0.00188512211633599,0.18348521932337
"85","2-Hydroxyestradiol","C05301",2,0.00188323917137476,0.18330194601381
"478","Deoxyadenosine monophosphate","C00360",8,0.0018674779059936,0.18176784951671
"468","dADP","C00206",18,0.00186469780781947,0.181497253294428
"687","Keratan","C00573",11,0.00185946515010628,0.180987941277011
"315","Aminoadipic acid","C00956",5,0.00184770525826891,0.179843311804841
"837","Oleamide","C19670",3,0.00184585492227979,0.179663212435233
"47","11b,17a,21-Trihydroxypreg-nenolone","C05489",4,0.00183930219026009,0.179025413185316
"998","Sulfite","C00094",1,0.0018348623853211,0.178593272171254
"380","Celecoxib","C07589",4,0.00183385078684025,0.178494809919117
"386","Chenodeoxycholic acid","C02528",13,0.00182791893658057,0.177917443160508
"497","dGDP","C00361",12,0.00182612523103241,0.177742855820488
"1052","Ureidosuccinic acid","C00438",3,0.00182575415884079,0.177706738127171
"652","Hydrogen phosphate","C01293",4,0.00182481751824818,0.177615571776156
"829","Norspermidine","C03375",16,0.00182379837370834,0.177516375040945
"948","Risperidone","C06861",7,0.00182262798066808,0.177402456785026
"62","17-Hydroxyprogesterone","C01176",8,0.00181272087364874,0.176438165035144
"175","3a,7a,12a-Trihydroxy-5b-cholestanoyl-CoA","C05448",3,0.00181026219682355,0.176198853824159
"138","3-Mercaptopyruvic acid","C00957",5,0.00180722891566265,0.175903614457831
"488","Deoxyuridine triphosphate","C00460",8,0.00180525525996024,0.175711511969463
"55","14,15-DiHETrE","C14775",1,0.0018018018018018,0.175375375375375
"102","2,3-Epoxyaflatoxin B1","C19586",10,0.00180095322952466,0.175292781007067
"823","Nicotinamide ribotide","C00455",8,0.00178721367638745,0.173955464501712
"16","(S)-3-Hydroxyisobutyric acid","C06001",4,0.00178139201738787,0.173388823025752
"348","Beta-D-Galactose","C00962",7,0.00177937098461975,0.173192109169656
"93","2-Methylacetoacetyl-CoA","C03344",7,0.00177496420016114,0.172763182149018
"1064","Valdecoxib","None",3,0.00176644328290741,0.171933812869655
"325","Angiotensin II","C02135",6,0.00174113663175488,0.169470632157475
"980","Sorbitol","C00794",8,0.00173756258561938,0.16912275833362
"664","Hypothiocyanite","None",6,0.00173603149124818,0.168973731814823
"417","Cortexolone","C05488",6,0.00173296007026962,0.16867478017291
"938","Quinone","C00472",5,0.00173160173160173,0.168542568542569
"163","3,5-Diiodo-L-tyrosine","C01060",2,0.00173010380622837,0.168396770472895
"975","Sertraline","C07246",6,0.00172513049156798,0.167912701179283
"91","2-Methyl-3-hydroxybutyryl-CoA","C04405",6,0.00171917412662963,0.167332948325284
"886","Phosphoribosyl formamidocarboxamide","C04734",3,0.00171821305841924,0.167239404352806
"166","3a,7a-Dihydroxy-5b-cholest-24-enoyl-CoA","C05447",3,0.0017090099528549,0.16634363541121
"298","ADP","C00008",696,0.00170798842380732,0.166244206583913
"648","Hydrochloric acid","C01327",12,0.00170344664392283,0.165802140008489
"776","N-Acetyl-b-D-galactosamine","C05021",4,0.00169997556285128,0.165464288117525
"356","Biliverdin","C00500",4,0.00165919479606188,0.161494960150023
"913","Prostaglandin G2","C05956",2,0.00165562913907285,0.161147902869757
"915","Prostaglandin I2","C01312",2,0.00165562913907285,0.161147902869757
"974","Serotonin","C00780",23,0.00164600607132883,0.160211257609339
"374","Carbonic acid","C01353",19,0.00164438542926429,0.160053515115057
"107","20-Hydroxyeicosatetraenoic acid","C14748",7,0.00164311890142539,0.159930239738738
"521","Dimethylglycine","C01026",3,0.00164203612479475,0.159824849480022
"818","Naphthalene epoxide","None",11,0.00163723020865878,0.159357073642788
"713","L-Octanoylcarnitine","C02838",1,0.00163398692810458,0.159041394335512
"922","Putrescine","C00134",20,0.00162460161287396,0.158127890319732
"560","Ferrocytochrome","C05183",2,0.00160963257659587,0.156670904121998
"165","3a,7a-Dihydroxy-5b-24-oxocholestanoyl-CoA","C05449",3,0.00160903198189935,0.156612446238203
"61","16b-Hydroxyestrone","C05300",4,0.00160384923817161,0.15610799251537
"925","Pyridoxine","C00314",6,0.0016030163691662,0.156026926598844
"333","Aripiprazole","C12564",26,0.00159834038086352,0.155571797070716
"1006","Tetracosatetraenoyl CoA","C16171",1,0.00159299084030267,0.155051108456126
"447","D-Lactaldehyde","C00937",2,0.00158227848101266,0.154008438818565
"573","Galactitol","C01697",2,0.00158227848101266,0.154008438818565
"1037","Trichloroethylene","C06790",10,0.00158117300974444,0.153900839615125
"596","Gluconolactone","C00198",7,0.00157128525483554,0.152938431470659
"172","3a,7a,12a-Trihydroxy-5b-24-oxocholestanoyl-CoA","C05467",5,0.00156964879639036,0.152779149515329
"901","Pregnenolone","C01953",9,0.00156409244559529,0.152238331371275
"151","3-Oxodecanoyl-CoA","C05265",8,0.001553093675141,0.151167784380391
"733","Lipoamide","C00248",5,0.00155068944482551,0.150933772629683
"219","5-b-Cholestane-3a ,7a ,12a-triol","C05454",2,0.00154798761609907,0.150670794633643
"508","Dihydrocortisol","C05471",2,0.00154798761609907,0.150670794633643
"983","Spermine","C00750",21,0.00154723963130853,0.150597990780697
"982","Spermidine","C00315",24,0.00153947178040495,0.149841919959415
"463","D-Urobilinogen","C05791",1,0.00153609831029186,0.149513568868408
"887","Phosphoribosyl pyrophosphate","C00119",6,0.0015331472126622,0.149226328699121
"106","20-Hydroxy-leukotriene B4","C04853",5,0.00152965355255432,0.148886279115287
"612","Glycerol","C00116",40,0.00152898110230742,0.148820827291255
"499","DHAP(18:0)","C03805",1,0.00151975683890578,0.147922998986829
"1048","Uracil","C00106",6,0.00151752937073867,0.14770619208523
"632","Halofuginone","None",2,0.00151515151515152,0.147474747474747
"740","Loratadine","C06818",4,0.00150305410994796,0.146297266701601
"756","Melatonin","C01598",16,0.00150155617462721,0.146151467663715
"29","1-Methylnicotinamide","C02918",1,0.00149476831091181,0.145490782262083
"200","4-Pyridoxic acid","C00847",1,0.00149476831091181,0.145490782262083
"824","Nicotinate D-ribonucleoside","C05841",7,0.00149111606466553,0.145135296960778
"162","3,4-Dihydroxyphenylglycol","C05576",7,0.00148622852467957,0.144659576402145
"242","5,6-Epoxy-8,11,14-eicosatrienoic acid","C14768",24,0.00148275667510359,0.144321649710082
"810","N5-Formyl-THF","C03479",6,0.00147928558907168,0.14398379733631
"446","D-Glyceraldehyde 3-phosphate","C00661",11,0.00147455416754438,0.143523272307653
"66","19-Hydroxyandrost-4-ene-3,17-dione","C05290",23,0.00146888514785584,0.142971487724635
"773","Myoinositol","C00137",3,0.00146842878120411,0.1429270680372
"883","Phosphoenolpyruvic acid","C00074",10,0.00146682306184631,0.142770778019707
"235","5-Phosphoribosylamine","C03090",2,0.00146216749334508,0.142317636018921
"88","2-Ketobutyric acid","C00109",17,0.00146058454265965,0.142163562152206
"11","(R)-3-Hydroxybutyric acid","C01089",2,0.00145772594752187,0.141885325558795
"133","3-Hydroxybutyric acid","C01089",2,0.00145772594752187,0.141885325558795
"743","LysoPC(10:0)","None",11,0.00145065147438941,0.141196743507236
"312","Alpha-ketoisovaleric acid","C00141",10,0.00145040079667946,0.141172344210134
"408","CL(18:1(11Z)/18:1(11Z)/18:1(11Z)/18:2(9Z,12Z))","None",2,0.00144927536231884,0.141062801932367
"215","5-Amino-2-oxopentanoic acid","C01110",2,0.00144092219020173,0.140249759846302
"454","D-Proline","C00763",2,0.00144092219020173,0.140249759846302
"942","Retinal","C00376",16,0.00143458106186503,0.139632556688197
"292","Adenosine triphosphate","C00002",912,0.00143367431586089,0.139544300077127
"406","Citric acid","C00158",20,0.00143349902589425,0.139527238520374
"904","Pristanic acid","None",1,0.00143266475644699,0.139446036294174
"218","5-Androstenediol","C04295",6,0.00143249060701279,0.139429085749245
"291","Adenosine tetraphosphate","C03483",2,0.00142857142857143,0.139047619047619
"500","Diadenosine hexaphosphate","C20190",2,0.00142857142857143,0.139047619047619
"540","dTDP-D-glucose","C00842",2,0.00142857142857143,0.139047619047619
"807","N1-Acetylspermine","C02567",25,0.001422911622561,0.138496731262604
"304","Agmatine","C00179",2,0.00142045454545455,0.138257575757576
"1020","Thiamine pyrophosphate","C00068",16,0.00141797770578818,0.138016496696716
"619","Glycolic acid","C00160",6,0.0014163358037874,0.137856684901974
"322","Androstenedione","C00280",39,0.0014127363153709,0.137506334696101
"746","LysoPC(O-18:0)","C04317",20,0.00141185092726714,0.137420156920668
"67","19-Oxotestosterone","C05295",24,0.00140768160002851,0.137014342402775
"182","4-Coumaryl alcohol","C02646",4,0.00140449438202247,0.136704119850187
"238","5,10-Methylene-THF","C00143",8,0.00140430219031227,0.136685413190394
"132","3-Hydroxyanthranilic acid","C00632",7,0.00139470576684608,0.135751361306352
"319","Anandamide","C11695",4,0.00139321887532566,0.135606637198365
"221","5-Diphosphoinositol pentakisphosphate","C11526",4,0.00138888888888889,0.135185185185185
"225","5-Hydroxyindoleacetic acid","C05635",8,0.0013851741633187,0.13482361856302
"657","Hydroxymethylbilane","C01024",2,0.00138504155124654,0.134810710987996
"404","cis,cis-3,6-Dodecadienoyl-CoA","C05280",3,0.00138312586445367,0.134624250806823
"145","3-Methylglutaconyl-CoA","C03231",3,0.00137931034482759,0.134252873563218
"1038","Tridecanoyl-CoA","None",5,0.00137335377954176,0.133673101208732
"394","Cholesterol sulfate","C18043",2,0.00136986301369863,0.133333333333333
"335","Aspirin","C01405",9,0.00136818707573925,0.133170208705287
"570","Fumaric acid","C00122",10,0.00136562612279275,0.132920942618494
"173","3a,7a,12a-Trihydroxy-5b-cholest-24-enoyl-CoA","C05460",2,0.00135869565217391,0.132246376811594
"654","Hydrogen sulfide","C00283",25,0.00135137433602737,0.131533768706664
"1065","Vasopressin","C00840",6,0.00134770889487871,0.131176999101527
"76","2-(a-Hydroxyethyl)thiamine diphosphate","C05125",5,0.00134123532653545,0.130546905116117
"421","Creatine","C00300",8,0.00133962529042833,0.130390194935024
"661","Hyodeoxycholic acid","None",10,0.00133671168173313,0.130106603688691
"939","R-Methylmalonyl-CoA","C01213",1,0.00133333333333333,0.129777777777778
"923","Pyridoxal","C00250",4,0.00133154648385822,0.1296038577622
"503","dIDP","C01344",4,0.00132978723404255,0.129432624113475
"559","Fe3+","C14819",5,0.00132735583684951,0.129195968120019
"628","Guanosine diphosphate mannose","C00096",8,0.00132649327253279,0.129112011859859
"561","Flavin Mononucleotide","C00061",25,0.00131818562822379,0.128303401147116
"816","NADPH","C00005",172,0.00131169116842023,0.127671273726235
"863","Parathion","C06604",26,0.00129939840002632,0.126474777602562
"424","Cyclic GMP","C00942",43,0.0012933903149891,0.125889990658939
"669","Inosine triphosphate","C00081",21,0.00129125455750883,0.125682110264193
"154","3-Oxooctanoyl-CoA","C05267",7,0.00128235336272272,0.124815727305011
"155","3-Oxotetradecanoyl-CoA","C05261",7,0.00128235336272272,0.124815727305011
"952","S-Acetyldihydrolipoamide","C01136",2,0.00128205128205128,0.124786324786325
"460","D-Tagatose 1,6-bisphosphate","C03785",2,0.00127878074306646,0.124467992325135
"362","Butyric acid","C00246",15,0.00127813924596151,0.124405553273587
"770","Molybdopterin","C05924",5,0.00127721453174758,0.124315547756764
"946","Ribose 1-phosphate","C00620",5,0.001276076116821,0.124204742037244
"578","Gamma-Aminobutyric acid","C00334",36,0.00127397197126323,0.123999938536287
"68","1b-Hydroxycholic acid","None",9,0.00126433836075053,0.123062267113052
"476","Dehydroepiandrosterone","C01227",9,0.00126202024006786,0.122836636699938
"389","Chitin","C00461",5,0.00126050420168067,0.122689075630252
"306","Aldosterone","C01780",12,0.00125952635572033,0.122593898623445
"706","L-Glutamic acid 5-phosphate","C03287",1,0.00125786163522013,0.122431865828092
"452","D-Myo-inositol 4-phosphate","C03546",2,0.0012531328320802,0.121971595655806
"912","Prostaglandin F2a","C00639",3,0.0012531328320802,0.121971595655806
"988","Squalene","C00751",5,0.00125088134367608,0.121752450784472
"642","Histamine","C00388",10,0.0012464063059495,0.121316880445751
"993","Substance P","None",4,0.001243096961563,0.120994770925466
"528","Dodecanoic acid","C02679",9,0.00124101642599387,0.120792265463404
"702","L-Dopa","C00355",12,0.00123458525051494,0.120166297716788
"352","Betaine","C00719",4,0.00123152709359606,0.119868637110016
"92","2-Methyl-3-oxopropanoic acid","C00349",7,0.00123147662578047,0.119863724909299
"712","L-Malic acid","C00149",4,0.00122984104884557,0.119704528754302
"836","Olanzapine","C07322",14,0.00121499179559093,0.118259201437518
"45","11b-Hydroxyprogesterone","C05498",5,0.00120733091330559,0.117513542228411
"110","21-Deoxycortisol","C05497",5,0.00120733091330559,0.117513542228411
"353","Betaine aldehyde","C00576",8,0.00120341353687024,0.117132250922036
"611","Glyceric acid 1,3-biphosphate","C00236",9,0.00120213457562893,0.117007765361216
"815","NADP","C00006",176,0.00120180684897041,0.116975866633119
"906","Progesterone","C00410",34,0.00119917827183628,0.116720018458731
"813","NAD","C00003",205,0.00117808654256617,0.114667090143107
"981","Sorbitol-6-phosphate","C00644",3,0.00117651231037937,0.114513864876926
"58","15(S)-HPETE","C05966",30,0.00117649774729371,0.114512447403254
"193","4-Imidazolone-5-propionic acid","C03680",2,0.00117370892018779,0.114241001564945
"562","Formiminoglutamic acid","C00439",2,0.00117370892018779,0.114241001564945
"927","Pyrimidine","C00396",2,0.00117096018735363,0.113973458235753
"1049","Urea","C00086",9,0.00117035742035742,0.113914788914789
"814","NADH","C00004",166,0.00116475921224725,0.113369896658733
"919","Pseudouridine","C02067",10,0.00115719804609242,0.112633943152996
"1067","Xanthosine","C01762",6,0.00114946657566723,0.111881413364944
"453","D-Pantothenoyl-L-cysteine","C04079",3,0.00114220892252929,0.111175001792851
"27","1-Methylhistamine","C05127",3,0.00114155251141553,0.111111111111111
"387","Chenodeoxyglycocholic acid","C05462",10,0.00113790452467548,0.110756040401746
"170","3a,7a-Dihydroxy-5b-cholestanoyl-CoA","C04644",4,0.00112983579889177,0.109970684425466
"625","Guanine","C00242",7,0.00112871441272026,0.109861536171439
"277","Acetoacetic acid","C00164",9,0.00112734634063795,0.109728377155427
"152","3-Oxohexanoyl-CoA","C05269",8,0.00112205919238238,0.109213761391885
"775","N-(o)-Hydroxyarginine","C05933",4,0.00112198954073083,0.109206981964468
"548","Epinephrine","C00788",8,0.00111904439593833,0.108920321204665
"405","Citicoline","C00307",7,0.00111524129220153,0.108550152440949
"498","dGTP","C00286",24,0.00111387440182661,0.108417108444457
"364","Cadaverine","C01672",3,0.0011037527593819,0.107431935246505
"282","Acetylcholine","C01996",3,0.00109659802107344,0.106735540717815
"725","Leukotriene B4","C02165",7,0.00109260968039594,0.106347342225205
"278","Acetoacetyl-CoA","C00332",14,0.00108900471539629,0.105996458965239
"817","Nandrolone","C07254",1,0.00108813928182807,0.105912223431266
"614","Glycerophosphocholine","C00670",13,0.00108342361863489,0.105453232213796
