"","Metabolite","KEGG_ID","Num_Sig_Genes","Gene_Count","DiffMut_Score","Normalized_Score"
"1103","Uridine diphosphate-N-acetylglucosamine","C00043",7,40,0.175,0.175
"315","ADP","C00008",131,766,0.171018276762402,0.171018276762402
"65","17a-Hydroxypregnenolone","C05138",1,6,0.166666666666667,0.166666666666667
"66","17a,21-Dihydroxypreg-nenolone","C05487",1,6,0.166666666666667,0.166666666666667
"140","3-Hydroxy-3-methylglutaryl-CoA","C00356",1,6,0.166666666666667,0.166666666666667
"234","5-Androstenediol","C04295",1,6,0.166666666666667,0.166666666666667
"307","Adenosine phosphosulfate","C00224",1,6,0.166666666666667,0.166666666666667
"393","Carbon monoxide","C00237",1,6,0.166666666666667,0.166666666666667
"437","Cortexolone","C05488",1,6,0.166666666666667,0.166666666666667
"491","Danazol","C06938",1,6,0.166666666666667,0.166666666666667
"992","S-Acetyldihydrolipoamide-E","C16255",1,6,0.166666666666667,0.166666666666667
"1014","Sertraline","C07246",1,6,0.166666666666667,0.166666666666667
"309","Adenosine triphosphate","C00002",161,1011,0.159248269040554,0.159248269040554
"518","DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","None",19,124,0.153225806451613,0.153225806451613
"516","DG(14:0/14:0/0:0)","C16667",18,118,0.152542372881356,0.152542372881356
"517","DG(16:0/16:0/0:0)","C00165",18,119,0.151260504201681,0.151260504201681
"515","DG(14:0/0:0/14:0)","None",16,107,0.149532710280374,0.149532710280374
"306","Adenosine diphosphate ribose","C00301",1,7,0.142857142857143,0.142857142857143
"323","Aldosterone","C01780",2,14,0.142857142857143,0.142857142857143
"425","Citicoline","C00307",1,7,0.142857142857143,0.142857142857143
"460","D-Erythrose 4-phosphate","C00279",1,7,0.142857142857143,0.142857142857143
"644","Glycolic acid","C00160",1,7,0.142857142857143,0.142857142857143
"705","Inositol phosphate","C01177",1,7,0.142857142857143,0.142857142857143
"784","Malonyl-CoA","C00083",2,14,0.142857142857143,0.142857142857143
"814","N-Acetyl-D-mannosamine 6-phosphate","C04257",1,7,0.142857142857143,0.142857142857143
"847","N5-Formyl-THF","C03479",1,7,0.142857142857143,0.142857142857143
"901","Pantoprazole","C11806",1,7,0.142857142857143,0.142857142857143
"394","Carbonic acid","C01353",3,22,0.136363636363636,0.136363636363636
"603","Gamma-Aminobutyric acid","C00334",5,37,0.135135135135135,0.135135135135135
"443","Cyclic AMP","C00575",21,163,0.128834355828221,0.128834355828221
"64","17-Hydroxyprogesterone","C01176",1,8,0.125,0.125
"478","D-Ribose 5-phosphate","C00117",2,16,0.125,0.125
"656","Guanosine triphosphate","C00044",69,552,0.125,0.125
"786","Mannose 6-phosphate","C00275",2,16,0.125,0.125
"1005","Se-Adenosylselenomethionine","C05691",1,8,0.125,0.125
"1092","Uracil","C00106",1,8,0.125,0.125
"929","Phosphoric acid","C00009",81,672,0.120535714285714,0.120535714285714
"472","D-Mannose","C00159",6,50,0.12,0.12
"558","Dopamine","C03758",3,26,0.115384615384615,0.115384615384615
"918","Phosphatidylinositol-3,4,5-trisphosphate","C05981",9,80,0.1125,0.1125
"253","5,10-Methenyltetrahydrofolic acid","C00445",1,9,0.111111111111111,0.111111111111111
"438","Corticosterone","C02140",1,9,0.111111111111111,0.111111111111111
"498","Dehydroepiandrosterone","C01227",1,9,0.111111111111111,0.111111111111111
"701","Inositol 1,3,4,5-tetraphosphate","C01272",1,9,0.111111111111111,0.111111111111111
"824","N-Acetylmannosamine","C00645",1,9,0.111111111111111,0.111111111111111
"935","PIP3(16:0/16:0)","C00626",9,81,0.111111111111111,0.111111111111111
"940","Pregnenolone","C01953",1,9,0.111111111111111,0.111111111111111
"1117","Zolpidem","C07219",1,9,0.111111111111111,0.111111111111111
"969","Pyrophosphate","C00013",34,332,0.102409638554217,0.102409638554217
"46","11b-Hydroxyandrost-4-ene-3,17-dione","C05284",1,10,0.1,0.1
"294","Acetoacetic acid","C00164",1,10,0.1,0.1
"441","Creatine","C00300",1,10,0.1,0.1
"825","N-Acetylneuraminic acid","C19910",1,10,0.1,0.1
"878","Oleoyl-CoA","C00510",1,10,0.1,0.1
"892","PA(16:0/16:0)","C00416",6,60,0.1,0.1
"908","PE(P-16:0e/0:0)","None",3,30,0.1,0.1
"1038","Sumatriptan","C07319",1,10,0.1,0.1
"736","L-Glutamic acid","C00025",9,91,0.0989010989010989,0.0989010989010989
"637","Glycerol","C00116",4,41,0.0975609756097561,0.0975609756097561
"773","LPA(0:0/16:0)","C00416",4,41,0.0975609756097561,0.0975609756097561
"449","Cytidine","C00475",2,21,0.0952380952380952,0.0952380952380952
"726","L-Alanine","C00041",2,21,0.0952380952380952,0.0952380952380952
"586","Flavin Mononucleotide","C00061",3,32,0.09375,0.09375
"664","Heparin","C00374",3,32,0.09375,0.09375
"254","5,10-Methylene-THF","C00143",1,11,0.0909090909090909,0.0909090909090909
"550","Dodecanoic acid","C02679",1,11,0.0909090909090909,0.0909090909090909
"900","Pantetheine 4'-phosphate","C01134",1,11,0.0909090909090909,0.0909090909090909
"1041","Taurine","C00245",1,11,0.0909090909090909,0.0909090909090909
"653","Guanosine diphosphate","C00035",20,225,0.0888888888888889,0.0888888888888889
"973","Pyruvic acid","C00022",5,59,0.0847457627118644,0.0847457627118644
"207","4-Hydroxyproline","C01157",1,12,0.0833333333333333,0.0833333333333333
"595","Fumaric acid","C00122",1,12,0.0833333333333333,0.0833333333333333
"634","Glyceraldehyde","C02154",1,12,0.0833333333333333,0.0833333333333333
"820","N-Acetylgalactosamine","C01074",1,12,0.0833333333333333,0.0833333333333333
"861","Nicotinamide ribotide","C00455",1,12,0.0833333333333333,0.0833333333333333
"893","PA(16:0e/18:0)","None",4,48,0.0833333333333333,0.0833333333333333
"922","Phosphoenolpyruvic acid","C00074",1,12,0.0833333333333333,0.0833333333333333
"1043","Taurocholic acid","C05122",2,24,0.0833333333333333,0.0833333333333333
"655","Guanosine monophosphate","C00144",16,194,0.0824742268041237,0.0824742268041237
"894","PA(P-16:0e/18:2(9Z,12Z))","C15647",4,49,0.0816326530612245,0.0816326530612245
"452","Cytidine triphosphate","C00063",5,63,0.0793650793650794,0.0793650793650794
"1105","Uridine triphosphate","C00075",5,64,0.078125,0.078125
"211","4-Nitrophenol","C00870",1,13,0.0769230769230769,0.0769230769230769
"468","D-Glyceraldehyde 3-phosphate","C00661",1,13,0.0769230769230769,0.0769230769230769
"538","Dihydroxyacetone phosphate","C00111",1,13,0.0769230769230769,0.0769230769230769
"641","Glycine","C00037",3,39,0.0769230769230769,0.0769230769230769
"674","Hyaluronan","None",1,13,0.0769230769230769,0.0769230769230769
"679","Hydrogen peroxide","C00027",4,52,0.0769230769230769,0.0769230769230769
"950","Prostaglandin E2","C00584",1,13,0.0769230769230769,0.0769230769230769
"909","PE(P-16:0e/16:0)","C04756",3,41,0.0731707317073171,0.0731707317073171
"875","Olanzapine","C07322",1,14,0.0714285714285714,0.0714285714285714
"907","PE(O-18:1(1Z)/20:4(5Z,8Z,11Z,14Z))","C00350",3,42,0.0714285714285714,0.0714285714285714
"931","Phosphorylcholine","C00588",1,14,0.0714285714285714,0.0714285714285714
"1033","Succinic acid","C00042",3,43,0.0697674418604651,0.0697674418604651
"774","LPA(18:0e/0:0)","None",2,29,0.0689655172413793,0.0689655172413793
"905","PC(dm16:0/dm16:0)","None",3,44,0.0681818181818182,0.0681818181818182
"381","Butyric acid","C00246",1,15,0.0666666666666667,0.0666666666666667
"479","D-Ribulose 5-phosphate","C00117",1,15,0.0666666666666667,0.0666666666666667
"638","Glycerol 3-phosphate","C00093",1,15,0.0666666666666667,0.0666666666666667
"1035","Succinyl-CoA","C00091",1,15,0.0666666666666667,0.0666666666666667
"904","PC(18:1(9Z)e/2:0)","C04598",5,76,0.0657894736842105,0.0657894736842105
"432","Coenzyme A","C00010",12,183,0.0655737704918033,0.0655737704918033
"729","L-Aspartic acid","C00049",2,31,0.0645161290322581,0.0645161290322581
"739","L-Glutamine","C00064",2,31,0.0645161290322581,0.0645161290322581
"1099","Uridine 5'-monophosphate","C00105",2,31,0.0645161290322581,0.0645161290322581
"731","L-Carnitine","C15025",1,16,0.0625,0.0625
"1102","Uridine diphosphate-N-acetylgalactosamine","C00203",2,32,0.0625,0.0625
"1098","Uridine 5'-diphosphate","C00015",9,147,0.0612244897959184,0.0612244897959184
"297","Acetyl-CoA","C00024",10,169,0.0591715976331361,0.0591715976331361
"356","Atorvastatin","C06834",1,17,0.0588235294117647,0.0588235294117647
"363","Beta-Alanine","C00099",1,17,0.0588235294117647,0.0588235294117647
"593","Fructose 6-phosphate","C00085",1,17,0.0588235294117647,0.0588235294117647
"749","L-Tyrosine","C00082",1,17,0.0588235294117647,0.0588235294117647
"884","Oxalacetic acid","C00036",1,17,0.0588235294117647,0.0588235294117647
"1061","Thiamine pyrophosphate","C00068",1,17,0.0588235294117647,0.0588235294117647
"945","Progesterone","C00410",2,35,0.0571428571428571,0.0571428571428571
"994","S-Adenosylmethionine","C00019",7,124,0.0564516129032258,0.0564516129032258
"788","Melatonin","C01598",1,18,0.0555555555555556,0.0555555555555556
"906","PC(O-16:0/18:2(9Z,12Z))","None",4,72,0.0555555555555556,0.0555555555555556
"981","Retinal","C00376",1,18,0.0555555555555556,0.0555555555555556
"1104","Uridine diphosphategalactose","C00052",1,18,0.0555555555555556,0.0555555555555556
"859","Niacinamide","C00153",2,37,0.0540540540540541,0.0540540540540541
"1101","Uridine diphosphate glucuronic acid","C00167",2,37,0.0540540540540541,0.0540540540540541
"413","Cholesterol","C00187",1,19,0.0526315789473684,0.0526315789473684
"903","PC(16:0/16:0)","C00157",4,77,0.051948051948052,0.051948051948052
"366","Beta-D-Fructose 6-phosphate","C05345",1,20,0.05,0.05
"678","Hydrogen carbonate","C00288",1,20,0.05,0.05
"95","2-Ketobutyric acid","C00109",1,21,0.0476190476190476,0.0476190476190476
"303","Adenosine","C00212",1,21,0.0476190476190476,0.0476190476190476
"830","N-Glycoloylganglioside GM1","C01808",2,42,0.0476190476190476,0.0476190476190476
"920","Phosphoadenosine phosphosulfate","C00053",2,42,0.0476190476190476,0.0476190476190476
"831","N-Glycoloylganglioside GM2","C01808",2,43,0.0465116279069767,0.0465116279069767
"778","LysoPC(O-18:0)","C04317",1,22,0.0454545454545455,0.0454545454545455
"888","Oxoglutaric acid","C00026",3,67,0.0447761194029851,0.0447761194029851
"790","Menadione","C05377",1,23,0.0434782608695652,0.0434782608695652
"866","Norepinephrine","C00547",1,23,0.0434782608695652,0.0434782608695652
"852","NADH","C00004",9,210,0.0428571428571429,0.0428571428571429
"659","Heme","C00032",7,166,0.0421686746987952,0.0421686746987952
"610","Ganglioside GM1 (18:1/12:0)","C04911",2,49,0.0408163265306122,0.0408163265306122
"889","Oxygen","C00007",8,198,0.0404040404040404,0.0404040404040404
"611","Ganglioside GM2 (d18:1/12:0)","C04884",2,50,0.04,0.04
"675","Hyaluronic acid","C00518",1,25,0.04,0.04
"750","Lactosamine","C00203",1,25,0.04,0.04
"851","NAD","C00003",10,253,0.0395256916996047,0.0395256916996047
"1013","Serotonin","C00780",1,27,0.037037037037037,0.037037037037037
"336","Ammonia","C00014",3,83,0.036144578313253,0.036144578313253
"698","Inosine triphosphate","C00081",1,28,0.0357142857142857,0.0357142857142857
"352","Aripiprazole","C12564",1,29,0.0344827586206897,0.0344827586206897
"630","Glucosylceramide (d18:1/24:0)","None",2,58,0.0344827586206897,0.0344827586206897
"844","N1-Acetylspermine","C02567",1,29,0.0344827586206897,0.0344827586206897
"627","Glucosylceramide (d18:1/12:0)","C01190",2,59,0.0338983050847458,0.0338983050847458
"416","Cholic acid","C00695",1,30,0.0333333333333333,0.0333333333333333
"1058","TG(16:0/16:0/18:0)[iso3]","C00422",1,30,0.0333333333333333,0.0333333333333333
"628","Glucosylceramide (d18:1/16:0)","C01190",2,61,0.0327868852459016,0.0327868852459016
"629","Glucosylceramide (d18:1/20:0)","C01190",2,61,0.0327868852459016,0.0327868852459016
"396","CDP","C00112",1,31,0.032258064516129,0.032258064516129
"694","IDP","C00104",1,31,0.032258064516129,0.032258064516129
"1036","Sulfate","C00059",1,33,0.0303030303030303,0.0303030303030303
"1057","TG(14:0/14:0/14:0)","None",1,34,0.0294117647058824,0.0294117647058824
"501","Deoxyadenosine triphosphate","C00131",1,35,0.0285714285714286,0.0285714285714286
"607","Ganglioside GD2 (d18:1/12:0)","None",1,38,0.0263157894736842,0.0263157894736842
"305","Adenosine 3',5'-diphosphate","C00054",1,39,0.0256410256410256,0.0256410256410256
"609","Ganglioside GD3 (d18:1/24:1(15Z))","C06133",1,39,0.0256410256410256,0.0256410256410256
"957","PS(16:0/16:0)","C02737",1,39,0.0256410256410256,0.0256410256410256
"1059","TG(18:0/18:0/18:0)","C00422",1,39,0.0256410256410256,0.0256410256410256
"854","NADPH","C00005",5,198,0.0252525252525253,0.0252525252525253
"608","Ganglioside GD3 (d18:1/12:0)","C06133",1,40,0.025,0.025
"631","Glucosylsphingosine","C03108",1,40,0.025,0.025
"853","NADP","C00006",5,204,0.0245098039215686,0.0245098039215686
"1070","Thymidine 5'-triphosphate","C00459",1,41,0.024390243902439,0.024390243902439
"341","Androstenedione","C00280",1,42,0.0238095238095238,0.0238095238095238
"934","Phytosphingosine","C12144",1,42,0.0238095238095238,0.0238095238095238
"135","3-Dehydrosphinganine","C02934",1,43,0.0232558139534884,0.0232558139534884
"602","Galactosylsphingosine","C01747",1,43,0.0232558139534884,0.0232558139534884
"612","Ganglioside GM3 (d18:1/12:0)","C04730",1,45,0.0222222222222222,0.0222222222222222
"613","Ganglioside GM3 (d18:1/25:0)","C04730",1,47,0.0212765957446809,0.0212765957446809
"1016","SM(d16:1/24:1(15Z))","None",1,47,0.0212765957446809,0.0212765957446809
"1026","Sphingosine 1-phosphate","C06124",1,47,0.0212765957446809,0.0212765957446809
"1024","Sphinganine 1-phosphate","C01120",1,48,0.0208333333333333,0.0208333333333333
"1017","SM(d18:1/18:0)","C00550",1,49,0.0204081632653061,0.0204081632653061
"580","FAD","C00016",3,159,0.0188679245283019,0.0188679245283019
"1049","Tetrahexosylceramide (d18:1/9Z-18:1)","C03272",1,55,0.0181818181818182,0.0181818181818182
"898","Palmityl-CoA","C00154",2,112,0.0178571428571429,0.0178571428571429
"596","Galabiosylceramide (d18:1/9Z-18:1)","C06126",1,57,0.0175438596491228,0.0175438596491228
"162","3-O-Sulfogalactosylceramide (d18:1/12:0)","C06125",1,58,0.0172413793103448,0.0172413793103448
"626","Glucosylceramide","C01190",1,58,0.0172413793103448,0.0172413793103448
"1023","Sphinganine","C00836",1,58,0.0172413793103448,0.0172413793103448
"325","All-trans-retinoic acid","C00777",1,59,0.0169491525423729,0.0169491525423729
"837","N-Palmitoylsphingosine","None",1,60,0.0166666666666667,0.0166666666666667
"1048","Tetrahexosylceramide (d18:1/12:0)","C03272",1,60,0.0166666666666667,0.0166666666666667
"1083","Trihexosylceramide (d18:1/12:0)","C04737",1,60,0.0166666666666667,0.0166666666666667
"401","Cer(d18:1/23:0)","None",1,62,0.0161290322580645,0.0161290322580645
"752","Lactosylceramide (d18:1/18:0)","C01290",1,62,0.0161290322580645,0.0161290322580645
"1025","Sphingosine","C00319",1,62,0.0161290322580645,0.0161290322580645
"529","Dihydroceramide","C12126",1,65,0.0153846153846154,0.0153846153846154
"402","Ceramide (d18:1/12:0)","C00195",1,66,0.0151515151515152,0.0151515151515152
"600","Galactosylceramide (d18:1/16:0)","C02686",1,66,0.0151515151515152,0.0151515151515152
"751","Lactosylceramide (d18:1/12:0)","C01290",1,67,0.0149253731343284,0.0149253731343284
"163","3-O-Sulfogalactosylceramide (d18:1/24:0)","C06125",1,68,0.0147058823529412,0.0147058823529412
"404","Ceramide (d18:1/20:0)","C00195",1,68,0.0147058823529412,0.0147058823529412
"403","Ceramide (d18:1/16:0)","C00195",1,73,0.0136986301369863,0.0136986301369863
"1044","Testosterone","C00535",1,74,0.0135135135135135,0.0135135135135135
"896","Palmitic acid","C00249",1,79,0.0126582278481013,0.0126582278481013
"101","2-Methylbutyryl-CoA","C01033",1,99,0.0101010101010101,0.0101010101010101
"442","Crotonoyl-CoA","C00877",1,101,0.0099009900990099,0.0099009900990099
"568","Eicosanoyl-CoA","C02041",1,104,0.00961538461538462,0.00961538461538462
"873","Octanoyl-CoA","C01944",1,104,0.00961538461538462,0.00961538461538462
"192","3Z-dodecenoyl-CoA","C02944",1,105,0.00952380952380952,0.00952380952380952
"944","Pristanoyl-CoA","C07297",1,105,0.00952380952380952,0.00952380952380952
"4","(2E)-Dodecenoyl-CoA","C03221",1,106,0.00943396226415094,0.00943396226415094
"5","(2E)-Hexadecenoyl-CoA","C05272",1,106,0.00943396226415094,0.00943396226415094
"382","Butyryl-CoA","C00136",1,106,0.00943396226415094,0.00943396226415094
"1031","Stearoyl-CoA","C00412",1,106,0.00943396226415094,0.00943396226415094
"349","Arachidonic acid","C00219",1,109,0.00917431192660551,0.00917431192660551
"668","Heptanoyl-CoA","None",1,109,0.00917431192660551,0.00917431192660551
"947","Propionyl-CoA","C00100",1,113,0.00884955752212389,0.00884955752212389
"666","Heptadecanoyl CoA","None",1,158,0.00632911392405063,0.00632911392405063
"1","(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol","C16015",0,1,0,0
"2","(13E)-11a-Hydroxy-9,15-dioxoprost-13-enoic acid","C04654",0,1,0,0
"3","(24R)-Cholest-5-ene-3-beta,24-diol","None",0,1,0,0
"6","(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid","None",0,15,0,0
"7","(3S)-3-Hydroxyadipyl-CoA","C14145",0,5,0,0
"8","(E)-2-Methylglutaconic acid","None",0,2,0,0
"9","(E)-3-(2,3-Dihydroxyphenyl)-2-propenoic acid","C12623",0,2,0,0
"10","(N-acetylneuraminosyl(a2-6)lactosamine)","C04886",0,2,0,0
"11","(R)-3-Hydroxybutyric acid","C01089",0,2,0,0
"12","(R)-b-aminoisobutyric acid","C01205",0,1,0,0
"13","(R)-lipoic acid","C00725",0,8,0,0
"14","(S)-2,3-Epoxysqualene","C01054",0,1,0,0
"15","(S)-3-Hydroxybutyric acid","C03197",0,2,0,0
"16","(S)-3-Hydroxyhexadecanoyl-CoA","C05258",0,9,0,0
"17","(S)-3-Hydroxyisobutyric acid","C06001",0,4,0,0
"18","(S)-3-Hydroxyisobutyryl-CoA","C06000",0,4,0,0
"19","(S)-5-Diphosphomevalonic acid","C01143",0,2,0,0
"20","(S)-b-aminoisobutyric acid","C03284",0,1,0,0
"21","(S)-Methylmalonic acid semialdehyde","C06002",0,14,0,0
"22","(S)-Propane-1,2-diol","C02917",0,1,0,0
"24","(S)-Ureidoglycolic acid","C00603",0,1,0,0
"25","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide","C15497",0,1,0,0
"26","1-(sn-Glycero-3-phospho)-1D-myo-inositol","C01225",0,2,0,0
"27","1-Butanol","C06142",0,34,0,0
"28","1-Methylhistamine","C05127",0,3,0,0
"29","1-Methylhistidine","C01152",0,2,0,0
"30","1-Methylnicotinamide","C02918",0,2,0,0
"31","1-Pentanol","C16834",0,35,0,0
"32","1-Phenylethylamine","C02455",0,5,0,0
"33","1-Phosphatidyl-1D-myo-inositol 3-phosphate","C04549",0,3,0,0
"35","1-Pyrroline-5-carboxylic acid","C04322",0,6,0,0
"36","1,2-Dihydroxy-3-keto-5-methylthiopentene","C15606",0,2,0,0
"37","1,2,3-Propanetricarboxylic acid","C19806",0,1,0,0
"38","1,3-Diaminopropane","C00986",0,7,0,0
"39","1,4-beta-D-Glucan","C00760",0,2,0,0
"40","1,5-Anhydrosorbitol","C07326",0,1,0,0
"42","11-cis-Retinaldehyde","C02110",0,1,0,0
"43","11-cis-Retinol","C00899",0,6,0,0
"45","11,12-EpETrE","None",0,3,0,0
"47","11b-Hydroxyprogesterone","C05498",0,5,0,0
"48","11b-PGF2a","C05959",0,1,0,0
"50","12-Keto-tetrahydro-leukotriene B4","C02165",0,3,0,0
"51","12(R)-HPETE","C14812",0,1,0,0
"52","12(S)-HPETE","C05965",0,1,0,0
"53","12(S)-Leukotriene B4","C04853",0,2,0,0
"54","13-cis-Retinoic acid","D00348",0,2,0,0
"55","13-HETE","None",0,3,0,0
"56","13-L-Hydroperoxylinoleic acid","C04717",0,2,0,0
"57","14,15-DiHETrE","C14775",0,1,0,0
"58","15-Keto-prostaglandin F2a","C05960",0,1,0,0
"59","15(S)-HETE","C04742",0,7,0,0
"60","15(S)-HPETE","C05966",0,33,0,0
"62","16a-Hydroxyestrone","C05300",0,4,0,0
"63","16b-Hydroxyestrone","C05300",0,6,0,0
"67","18-Hydroxycorticosterone","C01124",0,2,0,0
"68","19-Hydroxyandrost-4-ene-3,17-dione","C05290",0,24,0,0
"69","19-Oxotestosterone","C05295",0,25,0,0
"70","1b-Hydroxycholic acid","None",0,9,0,0
"72","1D-Myo-inositol 1,3,4,6-tetrakisphosphate","C04477",0,1,0,0
"73","1D-Myo-inositol 1,4-bisphosphate","C01220",0,6,0,0
"74","1D-Myo-inositol 1,4,5,6-tetrakisphosphate","C11555",0,1,0,0
"75","1D-myo-Inositol 3-phosphate","C04006",0,5,0,0
"76","1D-Myo-inositol 3,4-bisphosphate","C04063",0,3,0,0
"77","2-(3-Carboxy-3-(methylammonio)propyl)-L-histidine","C04692",0,1,0,0
"79","2-Acetolactate","C00900",0,1,0,0
"80","2-Amino-3-carboxymuconic acid semialdehyde","C04409",0,2,0,0
"81","2-Amino-4-oxo-6-(1',2'-dioxoprolyl)-7,8-dihydroxypteridine","C05255",0,1,0,0
"82","2-Aminomuconic acid","C02220",0,1,0,0
"83","2-Arachidonylglycerol","C13856",0,8,0,0
"84","2-Ethoxyethanol","C14687",0,1,0,0
"85","2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone","C05805",0,2,0,0
"86","2-Hexaprenyl-3-methyl-6-methoxy-1,4 benzoquinone","C05804",0,2,0,0
"87","2-Hexaprenyl-6-methoxyphenol","C05802",0,1,0,0
"88","2-Hydroxy-3-(4-hydroxyphenyl)propenoic acid","C05350",0,1,0,0
"89","2-Hydroxybutyric acid","C05984",0,6,0,0
"90","2-Hydroxyestradiol","C05301",0,3,0,0
"91","2-Hydroxyestrone-1-S-glutathione","None",0,1,0,0
"92","2-Hydroxyphenethylamine","C02735",0,1,0,0
"93","2-Hydroxyphytanoyl-CoA","C07343",0,2,0,0
"94","2-Keto-glutaramic acid","C00940",0,2,0,0
"96","2-Methoxyestradiol","C05302",0,23,0,0
"97","2-Methoxyestrone","C05299",0,23,0,0
"98","2-Methyl-3-hydroxybutyryl-CoA","C04405",0,6,0,0
"99","2-Methyl-3-oxopropanoic acid","C00349",0,7,0,0
"100","2-Methylacetoacetyl-CoA","C03344",0,8,0,0
"102","2-Methylpropan-2-ol","None",0,4,0,0
"103","2-Oxo-3-hydroxy-4-phosphobutanoic acid","C06054",0,1,0,0
"104","2-Oxo-4-methylthiobutanoic acid","C01180",0,5,0,0
"105","2-Oxoarginine","C03771",0,1,0,0
"106","2-Phospho-D-glyceric acid","C00631",0,8,0,0
"107","2-Phosphoglyceric acid","None",0,15,0,0
"108","2,2,2-Trichloroethanol","C07490",0,25,0,0
"109","2,3-Butanediol","C00265",0,1,0,0
