Metabolite	SMILES	KEGG	Gene Name
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	DKFZp434L0435
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	ENPP7
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	GBA2
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	GBGT1
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	GLTP
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	GLTPD1
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	GLTPD2
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	GM2A
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	GPAA1
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	KLRB1
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	LBP
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	NPC2
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	NSMAF
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGA
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGB
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGC
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGF
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGG
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGH
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGK
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGL
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGM
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGN
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGO
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGP
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGQ
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGS
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGT
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGU
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGV
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGW
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGX
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGY
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PIGZ
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PLEKHA8
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	PLEKHA9
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	SGMS1
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	SGMS2
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	SGPL1
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	SMPD1
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	SMPD2
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	SMPD3
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	SMPD4
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	SPHK1
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	UGCG
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	UGT8
Cob(II)alamin	C[C@@H]1CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)C3N4C2=C(C)C2=[N]5C(=CC6=[N]7C(=C(C)C8=[N]([C@]3(C)[C@@](C)(CC(N)=O)[C@@H]8CCC(N)=O)[Co+3]457[N]3=CN([C@H]4O[C@H](CO)[C@@H](OP(O)(=O)O1)[C@H]4O)C1=C3C=C(C)C(C)=C1)[C@@](C)(CC(N)=O)[C@@H]6CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O	C00541	MTR
Cob(II)alamin	C[C@@H]1CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)C3N4C2=C(C)C2=[N]5C(=CC6=[N]7C(=C(C)C8=[N]([C@]3(C)[C@@](C)(CC(N)=O)[C@@H]8CCC(N)=O)[Co+3]457[N]3=CN([C@H]4O[C@H](CO)[C@@H](OP(O)(=O)O1)[C@H]4O)C1=C3C=C(C)C(C)=C1)[C@@](C)(CC(N)=O)[C@@H]6CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O	C00541	MTRR
Cob(II)alamin	C[C@@H]1CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)C3N4C2=C(C)C2=[N]5C(=CC6=[N]7C(=C(C)C8=[N]([C@]3(C)[C@@](C)(CC(N)=O)[C@@H]8CCC(N)=O)[Co+3]457[N]3=CN([C@H]4O[C@H](CO)[C@@H](OP(O)(=O)O1)[C@H]4O)C1=C3C=C(C)C(C)=C1)[C@@](C)(CC(N)=O)[C@@H]6CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O	C00541	PRMT5
Carbamoyl phosphate	NC(=O)OP(O)(O)=O	C00169	CPS1
Carbamoyl phosphate	NC(=O)OP(O)(O)=O	C00169	CAD
Carbamoyl phosphate	NC(=O)OP(O)(O)=O	C00169	OTC
Sulfate	[O-]S([O-])(=O)=O	C00059	SUOX
Sulfate	[O-]S([O-])(=O)=O	C00059	PAPSS2
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTO2
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTA5
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTA1
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTA2
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTM1
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTM2
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTM3
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTM5
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTP1
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTT1
Sulfate	[O-]S([O-])(=O)=O	C00059	LOC51064
Sulfate	[O-]S([O-])(=O)=O	C00059	MGST2
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTO1
Sulfate	[O-]S([O-])(=O)=O	C00059	PAPSS1
Sulfate	[O-]S([O-])(=O)=O	C00059	ARSD
Sulfate	[O-]S([O-])(=O)=O	C00059	ARSE
Sulfate	[O-]S([O-])(=O)=O	C00059	STS
Sulfate	[O-]S([O-])(=O)=O	C00059	GALNS
Sulfate	[O-]S([O-])(=O)=O	C00059	ARSA
Sulfate	[O-]S([O-])(=O)=O	C00059	ARSB
Sulfate	[O-]S([O-])(=O)=O	C00059	IDS
Sulfate	[O-]S([O-])(=O)=O	C00059	GNS
Sulfate	[O-]S([O-])(=O)=O	C00059	ENPP1
Sulfate	[O-]S([O-])(=O)=O	C00059	ENPP3
Sulfate	[O-]S([O-])(=O)=O	C00059	SLC26A2
Sulfate	[O-]S([O-])(=O)=O	C00059	SLC26A11
Sulfate	[O-]S([O-])(=O)=O	C00059	SLC13A4
Sulfate	[O-]S([O-])(=O)=O	C00059	MGST3
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTA4
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTZ1
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTT2
Sulfate	[O-]S([O-])(=O)=O	C00059	GSTA3
D-Urobilinogen	CCC1=C(C)C(=O)NC1CC1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(CC3NC(=O)C(C=C)=C3C)N2)N1	C05791	GUSB
ADP-ribose 2'-phosphate	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)[C@@H](O)[C@H]3OP(O)(O)=O)C2=NC=N1	C03246	BST1
ADP-ribose 2'-phosphate	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)[C@@H](O)[C@H]3OP(O)(O)=O)C2=NC=N1	C03246	CD38
ADP-ribose 2'-phosphate	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)[C@@H](O)[C@H]3OP(O)(O)=O)C2=NC=N1	C03246	TRPT1
Dyspropterin	CC(=O)C(=O)C1CNC2=C(N1)C(=O)NC(N)=N2	C03684	PTS
Dyspropterin	CC(=O)C(=O)C1CNC2=C(N1)C(=O)NC(N)=N2	C03684	SPR
3'-Ketolactose	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)C(=O)[C@H]1O	C05403	GLB1
3'-Ketolactose	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)C(=O)[C@H]1O	C05403	LCT
(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C05258	HADHA
(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C05258	ECHS1
(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C05258	HADH
(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C05258	HSD17B4
(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C05258	CRYL1
(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C05258	ELOVL2
(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C05258	ELOVL1
(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C05258	EHHADH
(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C05258	HSD17B10
3-Mercaptolactate-cysteine disulfide	N[C@@H](CSSCC(O)C(O)=O)C(O)=O	None	MPST
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	GALT
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	B4GALT1
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	GALE
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	LALBA
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	ABO
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	B4GALT3
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	UGT8
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	A4GALT
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	B4GALT2
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	B3GALT4
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	B3GALT6
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	B4GALT4
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	B4GALT6
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	B4GALT7
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	C1GALT1
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	GLT25D1
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	GLT25D2
Uridine diphosphategalactose	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	C00052	PLOD3
D-Lactic acid	C[C@@H](O)C(O)=O	C00256	LDHD
D-Lactic acid	C[C@@H](O)C(O)=O	C00256	HAGH
D-Lactic acid	C[C@@H](O)C(O)=O	C00256	HAGHL
D-Lactic acid	C[C@@H](O)C(O)=O	C00256	SLC16A3
D-Lactic acid	C[C@@H](O)C(O)=O	C00256	SLC16A7
D-Lactic acid	C[C@@H](O)C(O)=O	C00256	SLC16A1
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	DCK
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	UCKL1
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	NT5C
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	NT5C3
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	NT5M
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	NT5C1A
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	NT5C1B
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	AID
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	NT5C2
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	NT5E
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	APOBEC3G
Deoxycytidine	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C00881	CDA
L-Palmitoylcarnitine	CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	C02990	ACSL1
L-Palmitoylcarnitine	CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	C02990	CPT1A
L-Palmitoylcarnitine	CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	C02990	CPT1B
L-Palmitoylcarnitine	CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	C02990	CPT2
L-Palmitoylcarnitine	CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	C02990	CPT1C
Pyroglutamic acid	OC(=O)[C@@H]1CCC(=O)N1	C01879	QPCT
Pyroglutamic acid	OC(=O)[C@@H]1CCC(=O)N1	C01879	GGCT
Pyroglutamic acid	OC(=O)[C@@H]1CCC(=O)N1	C01879	OPLAH
Pyroglutamic acid	OC(=O)[C@@H]1CCC(=O)N1	C01879	HCRT
Pyroglutamic acid	OC(=O)[C@@H]1CCC(=O)N1	C01879	ANG
Pyroglutamic acid	OC(=O)[C@@H]1CCC(=O)N1	C01879	IGLC1
Pyroglutamic acid	OC(=O)[C@@H]1CCC(=O)N1	C01879	VEGFA
Pyroglutamic acid	OC(=O)[C@@H]1CCC(=O)N1	C01879	AMY1A
Pyroglutamic acid	OC(=O)[C@@H]1CCC(=O)N1	C01879	AMY2A
Pyroglutamic acid	OC(=O)[C@@H]1CCC(=O)N1	C01879	AMY2B
