"","Ensemble","Start_position","End_position"
"197","ENSG00000154237","208","208"
"198","ENSG00000126602","170","170"
"199","ENSG00000157106","2700","2700"
"200","ENSG00000122254","273","273"
"201","ENSG00000102893","584","584"
"202","ENSG00000198848","148","148"
"203","ENSG00000167711","248","248"
"204","ENSG00000185722","223","223"
"205","ENSG00000129245","367","367"
"206","ENSG00000141027","2337","2337"
"207","ENSG00000161405","367","367"
"208","ENSG00000073584","375","375"
"209","ENSG00000108797","513","513"
"210","ENSG00000154975","105","105"
"211","ENSG00000121101","1455","1455"
"212","ENSG00000258890","94","94"
"213","ENSG00000154240","485","485"
"214","ENSG00000204347","453","453"
"215","ENSG00000181038","170","170"
"216","ENSG00000099812","537","537"
"217","ENSG00000167483","448","448"
"218","ENSG00000168661","508","508"
"219","ENSG00000196357","430","430"
"220","ENSG00000128011","721","721"
"221","ENSG00000167565","164","164"
"222","ENSG00000161618","288","288"
"223","ENSG00000129450","176","176"
"224","ENSG00000171049","130","130"
"225","ENSG00000100983","126","126"
"226","ENSG00000124140","735","735"
"227","ENSG00000124126","439","439"
"228","ENSG00000124103","154","154"
"229","ENSG00000128250","228","228"
"230","ENSG00000075275","2307","2307"
"231","ENSG00000008735","64","64"
"232","ENSG00000187690","76","76"
"233","ENSG00000090889","588","588"
"234","ENSG00000157502","493","493"
"235","ENSG00000198354","418","418"
"236","ENSG00000156920","1137","1137"
"237","ENSG00000198910","154","154"
"238","ENSG00000162711","77","77"
"239","ENSG00000187833","718","718"
"240","ENSG00000075568","979","979"
"241","ENSG00000080345","965","965"
"242","ENSG00000168297","402","402"
"243","ENSG00000168297","403","403"
"244","ENSG00000124882","108","108"
"245","ENSG00000133401","1694","1694"
"246","ENSG00000145632","526","526"
"247","ENSG00000253953","620","620"
"248","ENSG00000127022","532","532"
"249","ENSG00000168216","63","63"
"250","ENSG00000130396","742","742"
"251","ENSG00000179869","4043","4043"
"252","ENSG00000127412","543","543"
"253","ENSG00000197321","795","795"
"254","ENSG00000151233","257","257"
"255","ENSG00000186442","548","548"
"256","ENSG00000175664","220","220"
"257","ENSG00000134900","906","906"
"258","ENSG00000054654","5647","5647"
"259","ENSG00000142208","17","17"
"260","ENSG00000181523","309","309"
"261","ENSG00000101773","762","762"
"262","ENSG00000167759","58","58"
"263","ENSG00000129990","168","168"
"264","ENSG00000198646","1790","1790"
"265","ENSG00000196074","1402","1402"
"266","ENSG00000130943","2222","2222"
"267","ENSG00000130943","2222","2222"
"268","ENSG00000198173","309","309"
"269","ENSG00000130054","358","358"
"270","ENSG00000132305","182","182"
"271","ENSG00000055044","278","278"
"272","ENSG00000121879","1047","1047"
"273","ENSG00000145147","890","890"
"274","ENSG00000095015","801","801"
"275","ENSG00000095015","1419","1419"
"276","ENSG00000198108","573","573"
"277","ENSG00000124688","35","35"
"278","ENSG00000188994","123","123"
"279","ENSG00000164708","53","53"
"280","ENSG00000188152","394","394"
"281","ENSG00000148143","2107","2107"
"282","ENSG00000182752","846","846"
"283","ENSG00000171448","408","408"
"284","ENSG00000054179","362","362"
"285","ENSG00000151025","675","675"
"286","ENSG00000198825","1060","1060"
"287","ENSG00000166788","153","153"
"288","ENSG00000185958","1094","1094"
"289","ENSG00000185958","1094","1094"
"290","ENSG00000111670","1119","1119"
"291","ENSG00000110887","4","4"
"292","ENSG00000211813","54","54"
"293","ENSG00000182185","63","63"
"294","ENSG00000074755","1261","1261"
"295","ENSG00000181222","645","645"
"296","ENSG00000141232","147","147"
"297","ENSG00000181143","4834","4834"
"298","ENSG00000197933","282","282"
"299","ENSG00000132801","307","307"
"300","ENSG00000117713","463","463"
"301","ENSG00000086015","331","331"
"302","ENSG00000152527","1182","1182"
"303","ENSG00000014257","43","43"
"304","ENSG00000090402","837","837"
"305","ENSG00000109184","61","61"
"306","ENSG00000198087","128","128"
"307","ENSG00000106125","152","152"
"308","ENSG00000211734","42","42"
"309","ENSG00000165684","239","239"
"310","ENSG00000117983","467","467"
"311","ENSG00000122965","224","224"
"312","ENSG00000183495","591","591"
"313","ENSG00000142208","17","17"
"314","ENSG00000162032","35","35"
"315","ENSG00000167193","162","162"
"316","ENSG00000174231","508","508"
"317","ENSG00000108946","149","149"
"318","ENSG00000175931","457","457"
"319","ENSG00000101752","968","968"
"320","ENSG00000131409","420","420"
"321","ENSG00000100209","169","169"
"322","ENSG00000156313","822","822"
"323","ENSG00000101901","201","201"
"324","ENSG00000102034","506","506"
"325","ENSG00000134686","621","621"
"326","ENSG00000162599","359","359"
"327","ENSG00000177628","280","280"
"328","ENSG00000212916","96","96"
"329","ENSG00000003509","2","2"
"330","ENSG00000115598","26","26"
"331","ENSG00000206384","1631","1631"
"332","ENSG00000064652","22","22"
"333","ENSG00000112685","813","813"
"334","ENSG00000135324","72","72"
"335","ENSG00000122557","51","51"
"336","ENSG00000126870","150","150"
"337","ENSG00000044459","514","514"
"338","ENSG00000178372","40","40"
"339","ENSG00000099290","294","294"
"340","ENSG00000152782","501","501"
"341","ENSG00000149150","409","409"
"342","ENSG00000129465","46","46"
"343","ENSG00000185347","213","213"
"344","ENSG00000138587","348","348"
"345","ENSG00000185739","176","176"
"346","ENSG00000122299","693","693"
"347","ENSG00000141510","168","168"
"348","ENSG00000173908","373","373"
"349","ENSG00000159210","198","198"
"350","ENSG00000123146","756","756"
"351","ENSG00000170608","296","296"
"352","ENSG00000168995","438","438"
"353","ENSG00000101280","354","354"
"354","ENSG00000092758","615","615"
"355","ENSG00000128253","233","233"
"356","ENSG00000184949","329","329"
"357","ENSG00000100399","656","656"
"358","ENSG00000079974","12","12"
"359","ENSG00000205667","384","384"
"360","ENSG00000172476","163","163"
"361","ENSG00000090686","911","911"
"362","ENSG00000170385","303","303"
"363","ENSG00000179397","609","609"
"364","ENSG00000121879","345","345"
"365","ENSG00000182132","46","46"
"366","ENSG00000156395","596","596"
"367","ENSG00000176769","339","339"
"368","ENSG00000011590","36","36"
"369","ENSG00000089048","405","405"
"370","ENSG00000174016","137","137"
"371","ENSG00000198754","472","472"
"372","ENSG00000033122","1128","1128"
"373","ENSG00000124357","233","233"
"374","ENSG00000109572","702","702"
"375","ENSG00000145675","406","406"
"376","ENSG00000055609","547","547"
"377","ENSG00000060749","203","203"
"378","ENSG00000070269","55","55"
"379","ENSG00000237172","219","219"
"380","ENSG00000135697","119","119"
"381","ENSG00000007216","335","335"
"382","ENSG00000159202","128","128"
"383","ENSG00000102241","452","452"
"384","ENSG00000160087","246","246"
"385","ENSG00000187513","83","83"
"386","ENSG00000134698","430","430"
"387","ENSG00000163349","826","826"
"388","ENSG00000143379","846","846"
"389","ENSG00000197915","1939","1939"
"390","ENSG00000160741","499","499"
"391","ENSG00000117560","103","103"
"392","ENSG00000159348","100","100"
"393","ENSG00000115762","197","197"
"394","ENSG00000169554","12","12"
"395","ENSG00000115183","811","811"
"396","ENSG00000155657","12700","12700"
"397","ENSG00000135913","203","203"
"398","ENSG00000173692","55","55"
"399","ENSG00000173389","195","195"
"400","ENSG00000185008","1022","1022"
"401","ENSG00000129048","268","268"
"402","ENSG00000169282","54","54"
"403","ENSG00000121879","88","88"
"404","ENSG00000151806","86","86"
"405","ENSG00000080493","723","723"
"406","ENSG00000182168","303","303"
"407","ENSG00000131435","311","311"
"408","ENSG00000239389","517","517"
"409","ENSG00000253953","664","664"
"410","ENSG00000091009","241","241"
"411","ENSG00000145982","287","287"
"412","ENSG00000096063","547","547"
"413","ENSG00000096264","242","242"
"414","ENSG00000014123","537","537"
"415","ENSG00000186231","208","208"
"416","ENSG00000112276","133","133"
"417","ENSG00000118503","480","480"
"418","ENSG00000146457","51","51"
"419","ENSG00000164880","576","576"
"420","ENSG00000105953","520","520"
"421","ENSG00000146700","502","502"
"422","ENSG00000198822","638","638"
"423","ENSG00000127914","1893","1893"
"424","ENSG00000169876","3324","3324"
"425","ENSG00000179468","93","93"
"426","ENSG00000133863","1432","1432"
"427","ENSG00000168172","211","211"
"428","ENSG00000165102","507","507"
"429","ENSG00000171316","1554","1554"
"430","ENSG00000170289","70","70"
"431","ENSG00000147724","171","171"
"432","ENSG00000152464","82","82"
"433","ENSG00000182077","209","209"
"434","ENSG00000177354","574","574"
"435","ENSG00000148840","1462","1462"
"436","ENSG00000095627","381","381"
"437","ENSG00000053918","218","218"
"438","ENSG00000187240","2409","2409"
"439","ENSG00000204300","96","96"
"440","ENSG00000111241","188","188"
"441","ENSG00000256436","124","124"
"442","ENSG00000151490","99","99"
"443","ENSG00000139155","484","484"
"444","ENSG00000121350","487","487"
"445","ENSG00000110934","58","58"
"446","ENSG00000065361","1169","1169"
"447","ENSG00000165899","1252","1252"
"448","ENSG00000122965","867","867"
"449","ENSG00000139618","3206","3206"
"450","ENSG00000257115","112","112"
"451","ENSG00000100714","564","564"
"452","ENSG00000137877","114","114"
"453","ENSG00000103852","370","370"
"454","ENSG00000103449","903","903"
"455","ENSG00000103043","391","391"
"456","ENSG00000152910","1188","1188"
"457","ENSG00000167522","1377","1377"
"458","ENSG00000196535","428","428"
"459","ENSG00000108771","291","291"
"460","ENSG00000011028","1383","1383"
"461","ENSG00000258890","51","51"
"462","ENSG00000141564","766","766"
"463","ENSG00000132205","235","235"
"464","ENSG00000167210","134","134"
"465","ENSG00000116032","589","589"
"466","ENSG00000167658","690","690"
"467","ENSG00000121297","535","535"
"468","ENSG00000125834","419","419"
"469","ENSG00000089050","64","64"
"470","ENSG00000101353","1019","1019"
"471","ENSG00000185272","134","134"
"472","ENSG00000243646","120","120"
"473","ENSG00000168135","170","170"
"474","ENSG00000128272","20","20"
"475","ENSG00000100354","1593","1593"
"476","ENSG00000100266","450","450"
"477","ENSG00000102048","198","198"
"478","ENSG00000102174","576","576"
"479","ENSG00000169306","696","696"
"480","ENSG00000147081","689","689"
"481","ENSG00000133124","457","457"
"482","ENSG00000077264","502","502"
"483","ENSG00000134588","776","776"
"484","ENSG00000198681","279","279"
"485","ENSG00000130821","372","372"
"486","ENSG00000120942","226","226"
"487","ENSG00000270601","441","441"
"488","ENSG00000121904","2988","2988"
"489","ENSG00000198198","1087","1087"
"490","ENSG00000143110","86","86"
"491","ENSG00000159164","92","92"
"492","ENSG00000143384","242","242"
"493","ENSG00000183853","127","127"
"494","ENSG00000198967","251","251"
"495","ENSG00000163554","1316","1316"
"496","ENSG00000120370","50","50"
"497","ENSG00000117523","1933","1933"
"498","ENSG00000182827","523","523"
"499","ENSG00000116005","48","48"
"500","ENSG00000188177","837","837"
"501","ENSG00000144229","733","733"
"502","ENSG00000155657","12449","12449"
"503","ENSG00000155657","854","854"
"504","ENSG00000115414","573","573"
"505","ENSG00000169047","733","733"
"506","ENSG00000168397","371","371"
"507","ENSG00000114023","34","34"
"508","ENSG00000082684","105","105"
"509","ENSG00000138231","190","190"
"510","ENSG00000114200","215","215"
"511","ENSG00000121879","545","545"
"512","ENSG00000153064","340","340"
"513","ENSG00000168594","803","803"
"514","ENSG00000164291","387","387"
"515","ENSG00000081853","349","349"
"516","ENSG00000180537","118","118"
"517","ENSG00000112655","765","765"
"518","ENSG00000153989","118","118"
"519","ENSG00000198822","476","476"
"520","ENSG00000005075","28","28"
"521","ENSG00000197558","3765","3765"
"522","ENSG00000164867","742","742"
"523","ENSG00000158856","360","360"
"524","ENSG00000147596","198","198"
"525","ENSG00000137094","232","232"
"526","ENSG00000198000","23","23"
"527","ENSG00000148356","423","423"
"528","ENSG00000122136","118","118"
"529","ENSG00000122877","425","425"
"530","ENSG00000165660","378","378"
"531","ENSG00000172362","17","17"
"532","ENSG00000197629","27","27"
"533","ENSG00000166900","154","154"
"534","ENSG00000149503","301","301"
"535","ENSG00000089597","361","361"
"536","ENSG00000111642","989","989"
"537","ENSG00000182199","237","237"
"538","ENSG00000111605","542","542"
"539","ENSG00000127329","167","167"
"540","ENSG00000057704","364","364"
"541","ENSG00000110906","243","243"
"542","ENSG00000123064","791","791"
"543","ENSG00000111737","45","45"
"544","ENSG00000102699","615","615"
"545","ENSG00000132964","264","264"
"546","ENSG00000150893","2626","2626"
"547","ENSG00000088387","1808","1808"
"548","ENSG00000129514","214","214"
"549","ENSG00000189139","356","356"
"550","ENSG00000139915","663","663"
"551","ENSG00000100490","42","42"
"552","ENSG00000103994","374","374"
"553","ENSG00000140279","651","651"
"554","ENSG00000103657","1304","1304"
"555","ENSG00000162104","1343","1343"
"556","ENSG00000187555","1004","1004"
"557","ENSG00000103534","538","538"
"558","ENSG00000166501","365","365"
"559","ENSG00000102870","126","126"
"560","ENSG00000156886","63","63"
"561","ENSG00000167522","2498","2498"
"562","ENSG00000171105","547","547"
"563","ENSG00000181143","1612","1612"
"564","ENSG00000197961","78","78"
"565","ENSG00000196172","102","102"
"566","ENSG00000130402","327","327"
"567","ENSG00000128000","775","775"
"568","ENSG00000160007","1030","1030"
"569","ENSG00000178150","144","144"
"570","ENSG00000177380","461","461"
"571","ENSG00000161609","353","353"
"572","ENSG00000126456","335","335"
"573","ENSG00000196214","147","147"
"574","ENSG00000089091","200","200"
"575","ENSG00000101407","968","968"
"576","ENSG00000183486","217","217"
"577","ENSG00000215455","164","164"
"578","ENSG00000099949","286","286"
"579","ENSG00000147124","717","717"
"580","ENSG00000101997","571","571"
"581","ENSG00000184675","241","241"
"582","ENSG00000147140","304","304"
"583","ENSG00000188419","53","53"
"584","ENSG00000009694","2640","2640"
"585","ENSG00000081985","682","682"
"586","ENSG00000143398","558","558"
"587","ENSG00000117523","2547","2547"
"588","ENSG00000094975","610","610"
"589","ENSG00000174514","482","482"
"590","ENSG00000162714","398","398"
"591","ENSG00000198399","561","561"
"592","ENSG00000115459","209","209"
"593","ENSG00000188886","182","182"
"594","ENSG00000136531","1000","1000"
"595","ENSG00000091409","222","222"
"596","ENSG00000078018","587","587"
"597","ENSG00000153551","167","167"
"598","ENSG00000144824","564","564"
"599","ENSG00000136603","505","505"
"600","ENSG00000072274","356","356"
"601","ENSG00000075711","817","817"
"602","ENSG00000169676","382","382"
"603","ENSG00000109182","495","495"
"604","ENSG00000189308","589","589"
"605","ENSG00000109339","104","104"
"606","ENSG00000172493","848","848"
"607","ENSG00000085365","77","77"
"608","ENSG00000232040","549","549"
"609","ENSG00000203907","139","139"
"610","ENSG00000146282","383","383"
"611","ENSG00000047932","285","285"
"612","ENSG00000006747","44","44"
"613","ENSG00000105877","2266","2266"
"614","ENSG00000106066","178","178"
"615","ENSG00000146856","881","881"
"616","ENSG00000167632","311","311"
"617","ENSG00000135049","80","80"
"618","ENSG00000083223","99","99"
"619","ENSG00000165244","149","149"
"620","ENSG00000107263","242","242"
"621","ENSG00000151655","716","716"
"622","ENSG00000263761","337","337"
"623","ENSG00000173088","126","126"
"624","ENSG00000156738","25","25"
"625","ENSG00000124942","2407","2407"
"626","ENSG00000110066","828","828"
"627","ENSG00000137699","373","373"
"628","ENSG00000139219","1412","1412"
"629","ENSG00000171759","30","30"
"630","ENSG00000135148","297","297"
"631","ENSG00000244754","527","527"
"632","ENSG00000181562","31","31"
"633","ENSG00000139973","227","227"
"634","ENSG00000182512","120","120"
"635","ENSG00000022976","382","382"
"636","ENSG00000166664","211","211"
"637","ENSG00000198838","189","189"
"638","ENSG00000137766","453","453"
"639","ENSG00000140521","338","338"
"640","ENSG00000122257","541","541"
"641","ENSG00000080603","334","334"
"642","ENSG00000102900","14","14"
"643","ENSG00000070366","1157","1157"
"644","ENSG00000173908","365","365"
"645","ENSG00000136449","518","518"
"646","ENSG00000008294","472","472"
"647","ENSG00000108384","21","21"
"648","ENSG00000181143","12186","12186"
"649","ENSG00000181143","8666","8666"
"650","ENSG00000181143","2558","2558"
"651","ENSG00000181143","1881","1881"
"652","ENSG00000131355","610","610"
"653","ENSG00000197714","51","51"
"654","ENSG00000178591","114","114"
"655","ENSG00000186716","771","771"
"656","ENSG00000198814","4","4"
"657","ENSG00000165175","30","30"
"658","ENSG00000017483","41","41"
"659","ENSG00000122420","188","188"
"660","ENSG00000178104","1875","1875"
"661","ENSG00000047410","1021","1021"
"662","ENSG00000213047","217","217"
"663","ENSG00000010072","424","424"
"664","ENSG00000138075","276","276"
"665","ENSG00000135631","246","246"
"666","ENSG00000179097","26","26"
"667","ENSG00000158220","806","806"
"668","ENSG00000198829","42","42"
"669","ENSG00000121879","1047","1047"
"670","ENSG00000163898","311","311"
"671","ENSG00000038219","487","487"
"672","ENSG00000035928","411","411"
"673","ENSG00000138768","259","259"
"674","ENSG00000138646","407","407"
"675","ENSG00000164199","3855","3855"
"676","ENSG00000253159","534","534"
"677","ENSG00000112212","120","120"
"678","ENSG00000112837","356","356"
"679","ENSG00000196376","124","124"
"680","ENSG00000164440","673","673"
"681","ENSG00000183696","297","297"
"682","ENSG00000106615","29","29"
"683","ENSG00000185900","259","259"
"684","ENSG00000136848","189","189"
"685","ENSG00000174970","126","126"
"686","ENSG00000110318","225","225"
"687","ENSG00000111142","253","253"
"688","ENSG00000100503","17","17"
"689","ENSG00000211951","56","56"
"690","ENSG00000128731","3189","3189"
"691","ENSG00000128731","279","279"
"692","ENSG00000264424","288","288"
"693","ENSG00000278540","1313","1313"
"694","ENSG00000197079","86","86"
"695","ENSG00000154258","1387","1387"
"696","ENSG00000187766","4","4"
"697","ENSG00000010671","332","332"
"698","ENSG00000069702","316","316"
"699","ENSG00000143970","253","253"
"700","ENSG00000174501","1375","1375"
"701","ENSG00000183091","1091","1091"
"702","ENSG00000153246","1044","1044"
"703","ENSG00000163092","2052","2052"
"704","ENSG00000144649","99","99"
"705","ENSG00000163823","129","129"
"706","ENSG00000163507","423","423"
"707","ENSG00000170542","330","330"
"708","ENSG00000153291","55","55"
"709","ENSG00000106086","460","460"
"710","ENSG00000169876","1319","1319"
"711","ENSG00000129292","643","643"
"712","ENSG00000148200","77","77"
"713","ENSG00000149742","322","322"
"714","ENSG00000011143","501","501"
"715","ENSG00000198265","368","368"
"716","ENSG00000198796","2148","2148"
"717","ENSG00000131355","474","474"
"718","ENSG00000176024","64","64"
"719","ENSG00000101413","189","189"
"720","ENSG00000189369","352","352"
"721","ENSG00000009694","919","919"
"722","ENSG00000184258","75","75"
"723","ENSG00000127603","5580","5580"
"724","ENSG00000171793","454","454"
"725","ENSG00000177606","112","112"
"726","ENSG00000263956","626","626"
"727","ENSG00000213085","406","406"
"728","ENSG00000143499","187","187"
"729","ENSG00000115504","975","975"
"730","ENSG00000081479","1836","1836"
"731","ENSG00000138375","344","344"
"732","ENSG00000081052","748","748"
"733","ENSG00000163788","376","376"
"734","ENSG00000121879","1047","1047"
"735","ENSG00000075711","564","564"
"736","ENSG00000145536","421","421"
"737","ENSG00000151882","89","89"
"738","ENSG00000039319","826","826"
"739","ENSG00000187372","221","221"
"740","ENSG00000111801","46","46"
"741","ENSG00000204366","416","416"
"742","ENSG00000213079","614","614"
"743","ENSG00000105793","19","19"
"744","ENSG00000250305","3","3"
"745","ENSG00000183729","325","325"
"746","ENSG00000091656","2641","2641"
"747","ENSG00000175305","100","100"
"748","ENSG00000156802","415","415"
"749","ENSG00000178031","1464","1464"
"750","ENSG00000188352","1563","1563"
"751","ENSG00000107485","293","293"
"752","ENSG00000077420","383","383"
"753","ENSG00000279346","49","49"
"754","ENSG00000174914","218","218"
"755","ENSG00000110079","99","99"
"756","ENSG00000175203","87","87"
"757","ENSG00000100580","53","53"
"758","ENSG00000128731","418","418"
"759","ENSG00000183324","264","264"
"760","ENSG00000133392","799","799"
"761","ENSG00000090863","724","724"
"762","ENSG00000141510","141","141"
"763","ENSG00000141027","2397","2397"
"764","ENSG00000108443","372","372"
"765","ENSG00000183077","250","250"
"766","ENSG00000181409","76","76"
"767","ENSG00000081913","1589","1589"
"768","ENSG00000187773","387","387"
"769","ENSG00000256087","265","265"
"770","ENSG00000197928","259","259"
"771","ENSG00000205758","306","306"
"772","ENSG00000198743","12","12"
"773","ENSG00000068985","4","4"
"774","ENSG00000147251","1935","1935"
"775","ENSG00000183631","257","257"
"776","ENSG00000102078","189","189"
"777","ENSG00000102241","135","135"
"778","ENSG00000179542","257","257"
"779","ENSG00000116641","1352","1352"
"780","ENSG00000268043","125","125"
"781","ENSG00000179930","506","506"
"782","ENSG00000153093","499","499"
"783","ENSG00000144381","130","130"
"784","ENSG00000144589","586","586"
"785","ENSG00000163702","552","552"
"786","ENSG00000178149","409","409"
"787","ENSG00000196475","398","398"
"788","ENSG00000150627","845","845"
"789","ENSG00000112983","1161","1161"
"790","ENSG00000155511","377","377"
"791","ENSG00000170085","718","718"
"792","ENSG00000170927","3504","3504"
"793","ENSG00000205413","890","890"
"794","ENSG00000092964","193","193"
"795","ENSG00000166181","425","425"
"796","ENSG00000151948","107","107"
"797","ENSG00000150403","639","639"
"798","ENSG00000183032","183","183"
"799","ENSG00000139985","27","27"
"800","ENSG00000188095","346","346"
"801","ENSG00000140987","653","653"
"802","ENSG00000183454","322","322"
"803","ENSG00000170703","129","129"
"804","ENSG00000198795","879","879"
"805","ENSG00000170949","332","332"
"806","ENSG00000130702","1633","1633"
